grupo,fecha,estado,concepto,moneda,tipo_moneda,importe
demo,2025-08-29,Real,Inversiones,Local,ARS,356369240.55
demo,2025-08-29,Proyectado,Cobranzas Proyectadas,Local,ARS,36661379.15
demo,2025-08-29,Proyectado,Pagos programados,Local,ARS,-30190339.55
demo,2025-08-30,Real,DISPONIBILIDADES,Local,ARS,1356504774.39
demo,2025-08-30,Real,Moneda extranjera,Local,ARS,929595189.04
demo,2025-08-30,Real,Moneda extranjera,Extranjera,USD,695090.81
demo,2025-08-30,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-30,Real,Bancos pesos,Local,ARS,138811081.16
demo,2025-08-30,Real,Inversiones,Local,ARS,304476580.7
demo,2025-08-30,Proyectado,Cobranzas Proyectadas,Local,ARS,35389105.04
demo,2025-08-30,Proyectado,Pagos programados,Local,ARS,-51767181.56
demo,2025-08-31,Real,DISPONIBILIDADES,Local,ARS,1351431479.13
demo,2025-08-31,Real,Moneda extranjera,Local,ARS,825900502.78
demo,2025-08-31,Real,Moneda extranjera,Extranjera,USD,617554.67
demo,2025-08-31,Real,Tipo de cambio USD,Local,USD,1337.37
demo,2025-08-31,Real,Bancos pesos,Local,ARS,159832650.97
demo,2025-08-31,Real,Inversiones,Local,ARS,377946217.71
demo,2025-08-31,Proyectado,Cobranzas Proyectadas,Local,ARS,13615812.48
demo,2025-08-31,Proyectado,Pagos programados,Local,ARS,-25863704.82
demo,2025-09-01,Real,DISPONIBILIDADES,Local,ARS,1549040856.9
demo,2025-09-01,Real,Moneda extranjera,Local,ARS,1030313696.47
demo,2025-09-01,Real,Moneda extranjera,Extranjera,USD,756658.39
demo,2025-09-01,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-01,Real,Bancos pesos,Local,ARS,120809277.86
demo,2025-09-01,Real,Inversiones,Local,ARS,435856542.06
demo,2025-09-01,Proyectado,Cobranzas Proyectadas,Local,ARS,20078909.98
demo,2025-09-01,Proyectado,Pagos programados,Local,ARS,-58017569.47
demo,2025-09-02,Real,DISPONIBILIDADES,Local,ARS,1405004863.29
demo,2025-09-02,Real,Moneda extranjera,Local,ARS,804577550.27
demo,2025-09-02,Real,Moneda extranjera,Extranjera,USD,590878.64
demo,2025-09-02,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-02,Real,Bancos pesos,Local,ARS,124948492.01
demo,2025-09-02,Real,Inversiones,Local,ARS,472833566.83
demo,2025-09-02,Proyectado,Cobranzas Proyectadas,Local,ARS,39148706.41
demo,2025-09-02,Proyectado,Pagos programados,Local,ARS,-36503452.23
demo,2025-09-03,Real,DISPONIBILIDADES,Local,ARS,1137489850.77
demo,2025-09-03,Real,Moneda extranjera,Local,ARS,684506508.97
demo,2025-09-03,Real,Moneda extranjera,Extranjera,USD,502698.93
demo,2025-09-03,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-03,Real,Bancos pesos,Local,ARS,106394812.83
demo,2025-09-03,Real,Inversiones,Local,ARS,380934568.26
demo,2025-09-03,Proyectado,Cobranzas Proyectadas,Local,ARS,16806382.51
demo,2025-09-03,Proyectado,Pagos programados,Local,ARS,-51152421.8
demo,2025-09-04,Real,DISPONIBILIDADES,Local,ARS,1225110878.77
demo,2025-09-04,Real,Moneda extranjera,Local,ARS,760385213.57
demo,2025-09-04,Real,Moneda extranjera,Extranjera,USD,558423.96
demo,2025-09-04,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-04,Real,Bancos pesos,Local,ARS,112220127.8
demo,2025-09-04,Real,Inversiones,Local,ARS,363588747.26
demo,2025-09-04,Proyectado,Cobranzas Proyectadas,Local,ARS,33594292.12
demo,2025-09-04,Proyectado,Pagos programados,Local,ARS,-44677501.98
demo,2025-09-05,Real,DISPONIBILIDADES,Local,ARS,1215764003.76
demo,2025-09-05,Real,Moneda extranjera,Local,ARS,718341172.6
demo,2025-09-05,Real,Moneda extranjera,Extranjera,USD,527546.98
demo,2025-09-05,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-05,Real,Bancos pesos,Local,ARS,115178193.3
demo,2025-09-05,Real,Inversiones,Local,ARS,436788100.89
demo,2025-09-05,Proyectado,Cobranzas Proyectadas,Local,ARS,10545934.29
demo,2025-09-05,Proyectado,Pagos programados,Local,ARS,-65089397.32
demo,2025-09-06,Real,DISPONIBILIDADES,Local,ARS,1610046927.58
demo,2025-09-06,Real,Moneda extranjera,Local,ARS,1088491814.56
demo,2025-09-06,Real,Moneda extranjera,Extranjera,USD,799384.18
demo,2025-09-06,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-06,Real,Bancos pesos,Local,ARS,137098145.66
demo,2025-09-06,Real,Inversiones,Local,ARS,406886361.9
demo,2025-09-06,Proyectado,Cobranzas Proyectadas,Local,ARS,31164398.48
demo,2025-09-06,Proyectado,Pagos programados,Local,ARS,-53593793.03
demo,2025-09-07,Real,DISPONIBILIDADES,Local,ARS,1308383160.54
demo,2025-09-07,Real,Moneda extranjera,Local,ARS,884364419.29
demo,2025-09-07,Real,Moneda extranjera,Extranjera,USD,649473.81
demo,2025-09-07,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-07,Real,Bancos pesos,Local,ARS,108105580.98
demo,2025-09-07,Real,Inversiones,Local,ARS,335056933.32
demo,2025-09-07,Proyectado,Cobranzas Proyectadas,Local,ARS,30864054.48
demo,2025-09-07,Proyectado,Pagos programados,Local,ARS,-50007827.54
demo,2025-09-08,Real,DISPONIBILIDADES,Local,ARS,1308919098.18
demo,2025-09-08,Real,Moneda extranjera,Local,ARS,703232330.11
demo,2025-09-08,Real,Moneda extranjera,Extranjera,USD,516451.1
demo,2025-09-08,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-08,Real,Bancos pesos,Local,ARS,148940223.79
demo,2025-09-08,Real,Inversiones,Local,ARS,479071497.88
demo,2025-09-08,Proyectado,Cobranzas Proyectadas,Local,ARS,31125053.4
demo,2025-09-08,Proyectado,Pagos programados,Local,ARS,-53450007.0
demo,2025-09-09,Real,DISPONIBILIDADES,Local,ARS,1338869693.25
demo,2025-09-09,Real,Moneda extranjera,Local,ARS,975160816.29
demo,2025-09-09,Real,Moneda extranjera,Extranjera,USD,716154.33
demo,2025-09-09,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-09,Real,Bancos pesos,Local,ARS,93319644.47
demo,2025-09-09,Real,Inversiones,Local,ARS,304359404.35
demo,2025-09-09,Proyectado,Cobranzas Proyectadas,Local,ARS,15368896.41
demo,2025-09-09,Proyectado,Pagos programados,Local,ARS,-49339068.28
demo,2025-09-10,Real,DISPONIBILIDADES,Local,ARS,1274410388.38
demo,2025-09-10,Real,Moneda extranjera,Local,ARS,818809854.27
demo,2025-09-10,Real,Moneda extranjera,Extranjera,USD,601330.79
demo,2025-09-10,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-10,Real,Bancos pesos,Local,ARS,156269402.13
demo,2025-09-10,Real,Inversiones,Local,ARS,338214237.66
demo,2025-09-10,Proyectado,Cobranzas Proyectadas,Local,ARS,36566274.18
demo,2025-09-10,Proyectado,Pagos programados,Local,ARS,-75449379.85
demo,2025-09-11,Real,DISPONIBILIDADES,Local,ARS,1424614989.15
demo,2025-09-11,Real,Moneda extranjera,Local,ARS,1005336226.68
demo,2025-09-11,Real,Moneda extranjera,Extranjera,USD,738315.04
demo,2025-09-11,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-11,Real,Bancos pesos,Local,ARS,111092404.17
demo,2025-09-11,Real,Inversiones,Local,ARS,334363589.21
demo,2025-09-11,Proyectado,Cobranzas Proyectadas,Local,ARS,30444146.04
demo,2025-09-11,Proyectado,Pagos programados,Local,ARS,-56621376.95
demo,2025-09-12,Real,DISPONIBILIDADES,Local,ARS,1259775553.36
demo,2025-09-12,Real,Moneda extranjera,Local,ARS,761687447.05
demo,2025-09-12,Real,Moneda extranjera,Extranjera,USD,559380.32
demo,2025-09-12,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-12,Real,Bancos pesos,Local,ARS,115505959.37
demo,2025-09-12,Real,Inversiones,Local,ARS,440561682.2
demo,2025-09-12,Proyectado,Cobranzas Proyectadas,Local,ARS,18873610.42
demo,2025-09-12,Proyectado,Pagos programados,Local,ARS,-76853145.67
demo,2025-09-13,Real,DISPONIBILIDADES,Local,ARS,1296569518.94
demo,2025-09-13,Real,Moneda extranjera,Local,ARS,815599908.09
demo,2025-09-13,Real,Moneda extranjera,Extranjera,USD,598973.42
demo,2025-09-13,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-13,Real,Bancos pesos,Local,ARS,106042499.37
demo,2025-09-13,Real,Inversiones,Local,ARS,404763678.22
demo,2025-09-13,Proyectado,Cobranzas Proyectadas,Local,ARS,34609403.12
demo,2025-09-13,Proyectado,Pagos programados,Local,ARS,-64445969.87
demo,2025-09-14,Real,DISPONIBILIDADES,Local,ARS,1410349438.02
demo,2025-09-14,Real,Moneda extranjera,Local,ARS,879890775.94
demo,2025-09-14,Real,Moneda extranjera,Extranjera,USD,646188.38
demo,2025-09-14,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-14,Real,Bancos pesos,Local,ARS,152836571.29
demo,2025-09-14,Real,Inversiones,Local,ARS,409702953.65
demo,2025-09-14,Proyectado,Cobranzas Proyectadas,Local,ARS,20600462.14
demo,2025-09-14,Proyectado,Pagos programados,Local,ARS,-52681325.0
demo,2025-09-15,Real,DISPONIBILIDADES,Local,ARS,1354420330.48
demo,2025-09-15,Real,Moneda extranjera,Local,ARS,856750702.03
demo,2025-09-15,Real,Moneda extranjera,Extranjera,USD,629194.4
demo,2025-09-15,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-15,Real,Bancos pesos,Local,ARS,115773518.55
demo,2025-09-15,Real,Inversiones,Local,ARS,399790881.57
demo,2025-09-15,Proyectado,Cobranzas Proyectadas,Local,ARS,29138744.39
demo,2025-09-15,Proyectado,Pagos programados,Local,ARS,-47033516.05
demo,2025-09-16,Real,DISPONIBILIDADES,Local,ARS,1442039208.42
demo,2025-09-16,Real,Moneda extranjera,Local,ARS,923710426.52
demo,2025-09-16,Real,Moneda extranjera,Extranjera,USD,678369.36
demo,2025-09-16,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-16,Real,Bancos pesos,Local,ARS,152264286.07
demo,2025-09-16,Real,Inversiones,Local,ARS,377117046.55
demo,2025-09-16,Proyectado,Cobranzas Proyectadas,Local,ARS,19891455.71
demo,2025-09-16,Proyectado,Pagos programados,Local,ARS,-30944006.43
demo,2025-09-17,Real,DISPONIBILIDADES,Local,ARS,1317794459.71
demo,2025-09-17,Real,Moneda extranjera,Local,ARS,825202755.39
demo,2025-09-17,Real,Moneda extranjera,Extranjera,USD,606025.71
demo,2025-09-17,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-17,Real,Bancos pesos,Local,ARS,126076600.58
demo,2025-09-17,Real,Inversiones,Local,ARS,390983417.51
demo,2025-09-17,Proyectado,Cobranzas Proyectadas,Local,ARS,35190924.35
demo,2025-09-17,Proyectado,Pagos programados,Local,ARS,-59659238.12
demo,2025-09-18,Real,DISPONIBILIDADES,Local,ARS,1499123239.21
demo,2025-09-18,Real,Moneda extranjera,Local,ARS,893233721.29
demo,2025-09-18,Real,Moneda extranjera,Extranjera,USD,655987.39
demo,2025-09-18,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-18,Real,Bancos pesos,Local,ARS,132505053.77
demo,2025-09-18,Real,Inversiones,Local,ARS,487762228.2
demo,2025-09-18,Proyectado,Cobranzas Proyectadas,Local,ARS,26269600.25
demo,2025-09-18,Proyectado,Pagos programados,Local,ARS,-40647364.31
demo,2025-09-19,Real,DISPONIBILIDADES,Local,ARS,1273879734.6
demo,2025-09-19,Real,Moneda extranjera,Local,ARS,787470845.2
demo,2025-09-19,Real,Moneda extranjera,Extranjera,USD,578315.54
demo,2025-09-19,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-19,Real,Bancos pesos,Local,ARS,106798319.69
demo,2025-09-19,Real,Inversiones,Local,ARS,431266387.45
demo,2025-09-19,Proyectado,Cobranzas Proyectadas,Local,ARS,23530605.68
demo,2025-09-19,Proyectado,Pagos programados,Local,ARS,-75186423.42
demo,2025-09-20,Real,DISPONIBILIDADES,Local,ARS,1355197083.26
demo,2025-09-20,Real,Moneda extranjera,Local,ARS,939704702.76
demo,2025-09-20,Real,Moneda extranjera,Extranjera,USD,690115.5
demo,2025-09-20,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-20,Real,Bancos pesos,Local,ARS,98178826.74
demo,2025-09-20,Real,Inversiones,Local,ARS,345751470.88
demo,2025-09-20,Proyectado,Cobranzas Proyectadas,Local,ARS,31797143.06
demo,2025-09-20,Proyectado,Pagos programados,Local,ARS,-60235060.17
demo,2025-09-21,Real,DISPONIBILIDADES,Local,ARS,1445193892.81
demo,2025-09-21,Real,Moneda extranjera,Local,ARS,836639747.89
demo,2025-09-21,Real,Moneda extranjera,Extranjera,USD,614425.0
demo,2025-09-21,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-21,Real,Bancos pesos,Local,ARS,148454133.74
demo,2025-09-21,Real,Inversiones,Local,ARS,494856376.26
demo,2025-09-21,Proyectado,Cobranzas Proyectadas,Local,ARS,10793829.21
demo,2025-09-21,Proyectado,Pagos programados,Local,ARS,-45550194.28
demo,2025-09-22,Real,DISPONIBILIDADES,Local,ARS,1262701881.8
demo,2025-09-22,Real,Moneda extranjera,Local,ARS,754148376.78
demo,2025-09-22,Real,Moneda extranjera,Extranjera,USD,553843.65
demo,2025-09-22,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-22,Real,Bancos pesos,Local,ARS,90398383.67
demo,2025-09-22,Real,Inversiones,Local,ARS,438203272.96
demo,2025-09-22,Proyectado,Cobranzas Proyectadas,Local,ARS,27300953.92
demo,2025-09-22,Proyectado,Pagos programados,Local,ARS,-47349105.53
demo,2025-09-23,Real,DISPONIBILIDADES,Local,ARS,1571108556.97
demo,2025-09-23,Real,Moneda extranjera,Local,ARS,1039318088.85
demo,2025-09-23,Real,Moneda extranjera,Extranjera,USD,763271.19
demo,2025-09-23,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-23,Real,Bancos pesos,Local,ARS,146253462.61
demo,2025-09-23,Real,Inversiones,Local,ARS,393877978.52
demo,2025-09-23,Proyectado,Cobranzas Proyectadas,Local,ARS,22408822.52
demo,2025-09-23,Proyectado,Pagos programados,Local,ARS,-30749795.53
demo,2025-09-24,Real,DISPONIBILIDADES,Local,ARS,1390344726.24
demo,2025-09-24,Real,Moneda extranjera,Local,ARS,933562135.26
demo,2025-09-24,Real,Moneda extranjera,Extranjera,USD,685604.42
demo,2025-09-24,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-24,Real,Bancos pesos,Local,ARS,122613886.96
demo,2025-09-24,Real,Inversiones,Local,ARS,361465636.26
demo,2025-09-24,Proyectado,Cobranzas Proyectadas,Local,ARS,17209840.29
demo,2025-09-24,Proyectado,Pagos programados,Local,ARS,-44506772.54
demo,2025-09-25,Real,DISPONIBILIDADES,Local,ARS,1468733602.34
demo,2025-09-25,Real,Moneda extranjera,Local,ARS,882283104.83
demo,2025-09-25,Real,Moneda extranjera,Extranjera,USD,647945.3
demo,2025-09-25,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-25,Real,Bancos pesos,Local,ARS,136072381.88
demo,2025-09-25,Real,Inversiones,Local,ARS,476976741.81
demo,2025-09-25,Proyectado,Cobranzas Proyectadas,Local,ARS,36495721.78
demo,2025-09-25,Proyectado,Pagos programados,Local,ARS,-63094347.97
demo,2025-09-26,Real,DISPONIBILIDADES,Local,ARS,1112737003.27
demo,2025-09-26,Real,Moneda extranjera,Local,ARS,697974498.97
demo,2025-09-26,Real,Moneda extranjera,Extranjera,USD,512589.77
demo,2025-09-26,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-26,Real,Bancos pesos,Local,ARS,133181922.54
demo,2025-09-26,Real,Inversiones,Local,ARS,301799806.91
demo,2025-09-26,Proyectado,Cobranzas Proyectadas,Local,ARS,25381041.31
demo,2025-09-26,Proyectado,Pagos programados,Local,ARS,-45600266.45
demo,2025-09-27,Real,DISPONIBILIDADES,Local,ARS,1419401625.39
demo,2025-09-27,Real,Moneda extranjera,Local,ARS,843747766.75
demo,2025-09-27,Real,Moneda extranjera,Extranjera,USD,619645.1
demo,2025-09-27,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-27,Real,Bancos pesos,Local,ARS,101048244.8
demo,2025-09-27,Real,Inversiones,Local,ARS,470428416.02
demo,2025-09-27,Proyectado,Cobranzas Proyectadas,Local,ARS,34590926.88
demo,2025-09-27,Proyectado,Pagos programados,Local,ARS,-30413729.06
demo,2025-09-28,Real,DISPONIBILIDADES,Local,ARS,1316704658.47
demo,2025-09-28,Real,Moneda extranjera,Local,ARS,757385621.56
demo,2025-09-28,Real,Moneda extranjera,Extranjera,USD,556221.07
demo,2025-09-28,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-28,Real,Bancos pesos,Local,ARS,126913256.37
demo,2025-09-28,Real,Inversiones,Local,ARS,492152822.9
demo,2025-09-28,Proyectado,Cobranzas Proyectadas,Local,ARS,11632260.29
demo,2025-09-28,Proyectado,Pagos programados,Local,ARS,-71379302.65
demo,2025-09-29,Real,DISPONIBILIDADES,Local,ARS,1553939623.43
demo,2025-09-29,Real,Moneda extranjera,Local,ARS,1058862010.08
demo,2025-09-29,Real,Moneda extranjera,Extranjera,USD,777624.17
demo,2025-09-29,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-29,Real,Bancos pesos,Local,ARS,90074674.92
demo,2025-09-29,Real,Inversiones,Local,ARS,416236092.97
demo,2025-09-29,Proyectado,Cobranzas Proyectadas,Local,ARS,25557670.6
demo,2025-09-29,Proyectado,Pagos programados,Local,ARS,-36790825.14
demo,2025-09-30,Real,DISPONIBILIDADES,Local,ARS,1273688192.4
demo,2025-09-30,Real,Moneda extranjera,Local,ARS,839933757.1
demo,2025-09-30,Real,Moneda extranjera,Extranjera,USD,616844.1
demo,2025-09-30,Real,Tipo de cambio USD,Local,USD,1361.66
demo,2025-09-30,Real,Bancos pesos,Local,ARS,127590817.75
demo,2025-09-30,Real,Inversiones,Local,ARS,367355531.26
demo,2025-09-30,Proyectado,Cobranzas Proyectadas,Local,ARS,11798098.89
demo,2025-09-30,Proyectado,Pagos programados,Local,ARS,-72990012.59
demo,2025-10-01,Real,DISPONIBILIDADES,Local,ARS,1547847200.0
demo,2025-10-01,Real,Moneda extranjera,Local,ARS,963956150.89
demo,2025-10-01,Real,Moneda extranjera,Extranjera,USD,695297.01
demo,2025-10-01,Real,Tipo de cambio USD,Local,USD,1386.39
demo,2025-10-01,Real,Bancos pesos,Local,ARS,156514785.96
demo,2025-10-01,Real,Inversiones,Local,ARS,477947128.62
demo,2025-10-01,Proyectado,Cobranzas Proyectadas,Local,ARS,24517820.33
demo,2025-10-01,Proyectado,Pagos programados,Local,ARS,-75088685.81
demo,2025-10-02,Real,DISPONIBILIDADES,Local,ARS,1604718348.7
demo,2025-10-02,Real,Moneda extranjera,Local,ARS,1076718194.94
demo,2025-10-02,Real,Moneda extranjera,Extranjera,USD,776631.73
demo,2025-10-02,Real,Tipo de cambio USD,Local,USD,1386.39
demo,2025-10-02,Real,Bancos pesos,Local,ARS,135773491.08
demo,2025-10-02,Real,Inversiones,Local,ARS,388962019.37
demo,2025-10-02,Proyectado,Cobranzas Proyectadas,Local,ARS,35168010.99
demo,2025-10-02,Proyectado,Pagos programados,Local,ARS,-31903367.67
demo,2025-10-03,Real,DISPONIBILIDADES,Local,ARS,1475165756.82
demo,2025-10-03,Real,Moneda extranjera,Local,ARS,936274508.92
demo,2025-10-03,Real,Moneda extranjera,Extranjera,USD,675330.37
demo,2025-10-03,Real,Tipo de cambio USD,Local,USD,1386.39
demo,2025-10-03,Real,Bancos pesos,Local,ARS,151220193.86
demo,2025-10-03,Real,Inversiones,Local,ARS,427378632.12
demo,2025-10-03,Proyectado,Cobranzas Proyectadas,Local,ARS,16100185.81
demo,2025-10-03,Proyectado,Pagos programados,Local,ARS,-55807763.89
demo,2025-10-04,Real,DISPONIBILIDADES,Local,ARS,1613271888.27
demo,2025-10-04,Real,Moneda extranjera,Local,ARS,1098148895.04
demo,2025-10-04,Real,Moneda extranjera,Extranjera,USD,792089.6
demo,2025-10-04,Real,Tipo de cambio USD,Local,USD,1386.39
demo,2025-10-04,Real,Bancos pesos,Local,ARS,93484839.49
demo,2025-10-04,Real,Inversiones,Local,ARS,455456721.95
demo,2025-10-04,Proyectado,Cobranzas Proyectadas,Local,ARS,29534752.06
demo,2025-10-04,Proyectado,Pagos programados,Local,ARS,-63353320.27
demo,2025-10-05,Real,DISPONIBILIDADES,Local,ARS,1313375942.81
demo,2025-10-05,Real,Moneda extranjera,Local,ARS,810084500.85
demo,2025-10-05,Real,Moneda extranjera,Extranjera,USD,584310.11
demo,2025-10-05,Real,Tipo de cambio USD,Local,USD,1386.39
demo,2025-10-05,Real,Bancos pesos,Local,ARS,98330050.31
demo,2025-10-05,Real,Inversiones,Local,ARS,429503564.12
demo,2025-10-05,Proyectado,Cobranzas Proyectadas,Local,ARS,38083162.49
demo,2025-10-05,Proyectado,Pagos programados,Local,ARS,-62625334.97
demo,2025-10-06,Real,DISPONIBILIDADES,Local,ARS,1150334639.75
demo,2025-10-06,Real,Moneda extranjera,Local,ARS,695162482.96
demo,2025-10-06,Real,Moneda extranjera,Extranjera,USD,501417.41
demo,2025-10-06,Real,Tipo de cambio USD,Local,USD,1386.39
demo,2025-10-06,Real,Bancos pesos,Local,ARS,101477292.37
demo,2025-10-06,Real,Inversiones,Local,ARS,406838644.96
demo,2025-10-06,Proyectado,Cobranzas Proyectadas,Local,ARS,19824049.85
demo,2025-10-06,Proyectado,Pagos programados,Local,ARS,-72967830.4
demo,2025-10-07,Real,DISPONIBILIDADES,Local,ARS,1465063663.82
demo,2025-10-07,Real,Moneda extranjera,Local,ARS,935216067.52
demo,2025-10-07,Real,Moneda extranjera,Extranjera,USD,674566.92
demo,2025-10-07,Real,Tipo de cambio USD,Local,USD,1386.39
demo,2025-10-07,Real,Bancos pesos,Local,ARS,141082947.28
demo,2025-10-07,Real,Inversiones,Local,ARS,395408067.69
demo,2025-10-07,Proyectado,Cobranzas Proyectadas,Local,ARS,17963993.93
demo,2025-10-07,Proyectado,Pagos programados,Local,ARS,-24607412.61
