hotel,fecha_reporte,mes,noches,grupo,occ_pct,revenue,adr
demo-costa,2026-07-02,2026-07,1561,384,0.3717,244046.15,156.32
demo-centro,2026-07-02,2026-08,3187,806,0.4828,550448.39,172.73
demo-costa,2026-07-02,2026-08,1178,252,0.2806,182436.86,154.83
demo-centro,2026-07-02,2026-09,3344,743,0.5066,589414.43,176.28
demo-costa,2026-07-02,2026-09,1425,295,0.3393,226620.5,159.03
demo-centro,2026-07-03,2026-07,3406,768,0.516,603079.69,177.08
demo-costa,2026-07-03,2026-07,1649,405,0.3925,257703.68,156.32
demo-centro,2026-07-03,2026-08,3211,812,0.4865,554667.49,172.73
demo-costa,2026-07-03,2026-08,1303,279,0.3102,201732.51,154.83
demo-centro,2026-07-03,2026-09,3316,736,0.5025,584577.89,176.28
demo-costa,2026-07-03,2026-09,1507,312,0.3587,239582.6,159.03
demo-centro,2026-07-04,2026-07,3295,743,0.4992,583489.05,177.08
demo-costa,2026-07-04,2026-07,1599,393,0.3808,249979.26,156.32
demo-centro,2026-07-04,2026-08,2928,740,0.4437,505834.51,172.73
demo-costa,2026-07-04,2026-08,1170,251,0.2786,181152.87,154.83
demo-centro,2026-07-04,2026-09,3481,773,0.5274,613609.06,176.28
demo-costa,2026-07-04,2026-09,1615,334,0.3844,256760.07,159.03
demo-centro,2026-07-05,2026-07,3742,843,0.567,662634.38,177.08
demo-costa,2026-07-05,2026-07,1654,407,0.3937,258494.74,156.32
demo-centro,2026-07-05,2026-08,2959,748,0.4483,511126.84,172.73
demo-costa,2026-07-05,2026-08,1210,259,0.288,187289.04,154.83
demo-centro,2026-07-05,2026-09,3362,747,0.5094,592680.87,176.28
demo-costa,2026-07-05,2026-09,1625,336,0.3869,258406.66,159.03
demo-centro,2026-07-06,2026-07,3739,843,0.5666,662192.46,177.08
demo-costa,2026-07-06,2026-07,1643,404,0.3911,256756.84,156.32
demo-centro,2026-07-06,2026-08,3172,802,0.4807,547990.66,172.73
demo-costa,2026-07-06,2026-08,1403,301,0.3341,217267.75,154.83
demo-centro,2026-07-06,2026-09,3114,692,0.4718,548917.93,176.28
demo-costa,2026-07-06,2026-09,1645,341,0.3916,261527.39,159.03
demo-centro,2026-07-07,2026-07,3676,828,0.5569,650909.57,177.08
demo-costa,2026-07-07,2026-07,1578,388,0.3757,246640.14,156.32
demo-centro,2026-07-07,2026-08,3184,805,0.4824,549977.47,172.73
demo-costa,2026-07-07,2026-08,1415,303,0.3369,219059.98,154.83
demo-centro,2026-07-07,2026-09,3708,823,0.5618,653647.25,176.28
demo-costa,2026-07-07,2026-09,1495,310,0.356,237808.01,159.03
demo-centro,2026-07-08,2026-07,3319,748,0.5029,587753.28,177.08
demo-costa,2026-07-08,2026-07,1605,395,0.3821,250870.97,156.32
demo-centro,2026-07-08,2026-08,3501,885,0.5304,604691.89,172.73
demo-costa,2026-07-08,2026-08,1211,259,0.2884,187538.78,154.83
demo-centro,2026-07-08,2026-09,3690,819,0.5591,650448.78,176.28
demo-costa,2026-07-08,2026-09,1513,313,0.3601,240551.39,159.03
demo-centro,2026-07-09,2026-07,3581,807,0.5426,634157.53,177.08
demo-costa,2026-07-09,2026-07,1600,393,0.3809,250078.61,156.32
demo-centro,2026-07-09,2026-08,3184,805,0.4825,550025.16,172.73
demo-costa,2026-07-09,2026-08,1227,263,0.2922,189998.35,154.83
demo-centro,2026-07-09,2026-09,3288,730,0.4981,579536.79,176.28
demo-costa,2026-07-09,2026-09,1639,339,0.3902,260630.21,159.03
demo-centro,2026-07-10,2026-07,3983,898,0.6034,705274.22,177.08
demo-costa,2026-07-10,2026-07,1601,394,0.3813,250328.58,156.32
demo-centro,2026-07-10,2026-08,3258,824,0.4936,562714.05,172.73
demo-costa,2026-07-10,2026-08,1335,286,0.3179,206727.75,154.83
demo-centro,2026-07-10,2026-09,3225,716,0.4886,568433.32,176.28
demo-costa,2026-07-10,2026-09,1569,325,0.3735,249454.13,159.03
demo-centro,2026-07-11,2026-07,3912,882,0.5927,692726.63,177.08
demo-costa,2026-07-11,2026-07,1644,404,0.3915,257057.45,156.32
demo-centro,2026-07-11,2026-08,3045,770,0.4613,525946.56,172.73
demo-costa,2026-07-11,2026-08,1251,268,0.2979,193741.69,154.83
demo-centro,2026-07-11,2026-09,3464,769,0.5248,610568.52,176.28
demo-costa,2026-07-11,2026-09,1691,350,0.4027,268992.44,159.03
demo-centro,2026-07-12,2026-07,3566,804,0.5403,631451.34,177.08
demo-costa,2026-07-12,2026-07,1502,369,0.3576,234797.59,156.32
demo-centro,2026-07-12,2026-08,3157,798,0.4783,545244.04,172.73
demo-costa,2026-07-12,2026-08,1319,283,0.3141,204221.95,154.83
demo-centro,2026-07-12,2026-09,3261,724,0.4941,574853.42,176.28
demo-costa,2026-07-12,2026-09,1699,352,0.4046,270215.35,159.03
demo-centro,2026-07-13,2026-07,3541,798,0.5365,626999.26,177.08
demo-costa,2026-07-13,2026-07,1513,372,0.3603,236534.08,156.32
demo-centro,2026-07-13,2026-08,3188,806,0.483,550589.87,172.73
demo-costa,2026-07-13,2026-08,1304,279,0.3106,201947.14,154.83
demo-centro,2026-07-13,2026-09,3749,832,0.568,660768.93,176.28
demo-costa,2026-07-13,2026-09,1622,336,0.3861,257895.38,159.03
demo-centro,2026-07-14,2026-07,4077,919,0.6178,722048.68,177.08
demo-costa,2026-07-14,2026-07,1672,411,0.398,261294.16,156.32
demo-centro,2026-07-14,2026-08,3569,902,0.5408,616472.33,172.73
demo-costa,2026-07-14,2026-08,1469,315,0.3497,227420.61,154.83
demo-centro,2026-07-14,2026-09,3611,802,0.5471,636478.71,176.28
demo-costa,2026-07-14,2026-09,1558,323,0.371,247812.92,159.03
demo-centro,2026-07-15,2026-07,3846,867,0.5827,681072.85,177.08
demo-costa,2026-07-15,2026-07,1709,420,0.4069,267133.23,156.32
demo-centro,2026-07-15,2026-08,3239,819,0.4908,559559.48,172.73
demo-costa,2026-07-15,2026-08,1441,309,0.343,223060.92,154.83
demo-centro,2026-07-15,2026-09,3458,768,0.524,609579.03,176.28
demo-costa,2026-07-15,2026-09,1564,324,0.3725,248792.75,159.03
demo-centro,2026-07-16,2026-07,3705,835,0.5613,656033.31,177.08
demo-costa,2026-07-16,2026-07,1615,397,0.3845,252455.03,156.32
demo-centro,2026-07-16,2026-08,3343,845,0.5065,577446.63,172.73
demo-costa,2026-07-16,2026-08,1451,311,0.3455,224660.9,154.83
demo-centro,2026-07-16,2026-09,3485,774,0.528,614244.57,176.28
demo-costa,2026-07-16,2026-09,1754,363,0.4177,279011.14,159.03
demo-centro,2026-07-17,2026-07,3579,807,0.5423,633827.9,177.08
demo-costa,2026-07-17,2026-07,1783,439,0.4245,278716.44,156.32
demo-centro,2026-07-17,2026-08,3589,908,0.5438,619994.49,172.73
demo-costa,2026-07-17,2026-08,1315,282,0.3131,203574.02,154.83
demo-centro,2026-07-17,2026-09,3417,759,0.5178,602371.5,176.28
demo-costa,2026-07-17,2026-09,1816,376,0.4324,288796.37,159.03
demo-centro,2026-07-18,2026-07,3571,805,0.5411,632361.08,177.08
demo-costa,2026-07-18,2026-07,1599,393,0.3808,250025.01,156.32
demo-centro,2026-07-18,2026-08,3475,879,0.5265,600206.63,172.73
demo-costa,2026-07-18,2026-08,1466,314,0.3491,227026.25,154.83
demo-centro,2026-07-18,2026-09,3734,829,0.5658,658202.44,176.28
demo-costa,2026-07-18,2026-09,1729,358,0.4117,274985.04,159.03
demo-centro,2026-07-19,2026-07,3855,869,0.5841,682697.49,177.08
demo-costa,2026-07-19,2026-07,1753,431,0.4173,273998.53,156.32
demo-centro,2026-07-19,2026-08,3199,809,0.4847,552594.71,172.73
demo-costa,2026-07-19,2026-08,1315,282,0.3131,203624.67,154.83
demo-centro,2026-07-19,2026-09,3910,868,0.5924,689155.17,176.28
demo-costa,2026-07-19,2026-09,1706,353,0.4061,271244.97,159.03
demo-centro,2026-07-20,2026-07,4171,940,0.632,738634.2,177.08
demo-costa,2026-07-20,2026-07,1593,392,0.3792,248946.83,156.32
demo-centro,2026-07-20,2026-08,3369,852,0.5104,581874.57,172.73
demo-costa,2026-07-20,2026-08,1409,302,0.3354,218110.03,154.83
demo-centro,2026-07-20,2026-09,3890,864,0.5894,685758.54,176.28
demo-costa,2026-07-20,2026-09,1629,337,0.3878,259033.16,159.03
demo-centro,2026-07-21,2026-07,3981,897,0.6032,705009.92,177.08
demo-costa,2026-07-21,2026-07,1658,408,0.3947,259126.17,156.32
demo-centro,2026-07-21,2026-08,3500,885,0.5303,604614.55,172.73
demo-costa,2026-07-21,2026-08,1508,323,0.3592,233553.23,154.83
demo-centro,2026-07-21,2026-09,3953,878,0.5989,696771.83,176.28
demo-costa,2026-07-21,2026-09,1746,362,0.4157,277631.99,159.03
demo-centro,2026-07-22,2026-07,3675,828,0.5567,650706.46,177.08
demo-costa,2026-07-22,2026-07,1753,431,0.4175,274084.55,156.32
demo-centro,2026-07-22,2026-08,3492,883,0.529,603106.6,172.73
demo-costa,2026-07-22,2026-08,1429,306,0.3403,221303.86,154.83
demo-centro,2026-07-22,2026-09,3540,786,0.5364,624091.67,176.28
demo-costa,2026-07-22,2026-09,1698,352,0.4044,270084.11,159.03
demo-centro,2026-07-23,2026-07,4150,935,0.6287,734831.41,177.08
demo-costa,2026-07-23,2026-07,1672,411,0.398,261310.31,156.32
demo-centro,2026-07-23,2026-08,3349,847,0.5074,578478.02,172.73
demo-costa,2026-07-23,2026-08,1441,309,0.3432,223158.0,154.83
demo-centro,2026-07-23,2026-09,3765,836,0.5705,663741.31,176.28
demo-costa,2026-07-23,2026-09,1859,385,0.4426,295597.33,159.03
demo-centro,2026-07-24,2026-07,4034,909,0.6112,714361.94,177.08
demo-costa,2026-07-24,2026-07,1716,422,0.4085,268216.11,156.32
demo-centro,2026-07-24,2026-08,3480,880,0.5273,601154.21,172.73
demo-costa,2026-07-24,2026-08,1439,308,0.3427,222829.75,154.83
demo-centro,2026-07-24,2026-09,4044,898,0.6127,712784.25,176.28
demo-costa,2026-07-24,2026-09,1812,375,0.4313,288106.59,159.03
demo-centro,2026-07-25,2026-07,3884,875,0.5885,687821.61,177.08
demo-costa,2026-07-25,2026-07,1823,448,0.4341,284978.16,156.32
demo-centro,2026-07-25,2026-08,3706,937,0.5615,640137.34,172.73
demo-costa,2026-07-25,2026-08,1520,326,0.3618,235277.19,154.83
demo-centro,2026-07-25,2026-09,3637,808,0.5511,641166.83,176.28
demo-costa,2026-07-25,2026-09,1759,364,0.4188,279761.27,159.03
demo-centro,2026-07-26,2026-07,3840,866,0.5818,680028.99,177.08
demo-costa,2026-07-26,2026-07,1810,445,0.431,282940.93,156.32
demo-centro,2026-07-26,2026-08,3443,871,0.5217,594740.91,172.73
demo-costa,2026-07-26,2026-08,1475,316,0.3512,228394.33,154.83
demo-centro,2026-07-26,2026-09,3996,887,0.6055,704435.72,176.28
demo-costa,2026-07-26,2026-09,1750,362,0.4167,278295.66,159.03
demo-centro,2026-07-27,2026-07,4166,939,0.6312,737695.94,177.08
demo-costa,2026-07-27,2026-07,1703,419,0.4054,266172.83,156.32
demo-centro,2026-07-27,2026-08,3768,953,0.5709,650881.14,172.73
demo-costa,2026-07-27,2026-08,1493,320,0.3555,231173.71,154.83
demo-centro,2026-07-27,2026-09,3750,833,0.5682,661033.7,176.28
demo-costa,2026-07-27,2026-09,1836,380,0.4372,292005.52,159.03
demo-centro,2026-07-28,2026-07,4235,955,0.6417,750018.12,177.08
demo-costa,2026-07-28,2026-07,1841,453,0.4383,287768.22,156.32
demo-centro,2026-07-28,2026-08,3588,907,0.5436,619756.88,172.73
demo-costa,2026-07-28,2026-08,1441,309,0.3431,223079.83,154.83
demo-centro,2026-07-28,2026-09,3724,827,0.5643,656493.88,176.28
demo-costa,2026-07-28,2026-09,1878,389,0.4471,298608.9,159.03
demo-centro,2026-07-29,2026-07,4237,955,0.642,750321.95,177.08
demo-costa,2026-07-29,2026-07,1702,418,0.4051,265982.78,156.32
demo-centro,2026-07-29,2026-08,3648,922,0.5528,630202.9,172.73
demo-costa,2026-07-29,2026-08,1487,318,0.354,230191.32,154.83
demo-centro,2026-07-29,2026-09,3670,815,0.5561,646989.54,176.28
demo-costa,2026-07-29,2026-09,1793,371,0.4268,285072.07,159.03
demo-centro,2026-07-30,2026-07,4000,902,0.6061,708425.74,177.08
demo-costa,2026-07-30,2026-07,1792,441,0.4266,280090.74,156.32
demo-centro,2026-07-30,2026-08,3601,911,0.5456,622024.93,172.73
demo-costa,2026-07-30,2026-08,1510,323,0.3594,233719.19,154.83
demo-centro,2026-07-30,2026-09,4102,911,0.6216,723158.18,176.28
demo-costa,2026-07-30,2026-09,1859,385,0.4427,295689.85,159.03
demo-centro,2026-07-31,2026-07,4043,911,0.6126,715924.98,177.08
demo-costa,2026-07-31,2026-07,1791,441,0.4265,279990.67,156.32
demo-centro,2026-07-31,2026-08,3610,913,0.547,623602.7,172.73
demo-costa,2026-07-31,2026-08,1532,328,0.3649,237272.12,154.83
demo-centro,2026-07-31,2026-09,4111,913,0.6229,724703.71,176.28
demo-costa,2026-07-31,2026-09,1722,357,0.41,273878.42,159.03
demo-centro,2026-08-01,2026-08,3637,919,0.551,628148.5,172.73
demo-costa,2026-08-01,2026-08,1521,326,0.3621,235436.3,154.83
demo-centro,2026-08-01,2026-09,4146,921,0.6282,730883.94,176.28
demo-costa,2026-08-01,2026-09,1863,386,0.4435,296194.23,159.03
demo-centro,2026-08-01,2026-10,3509,904,0.5317,618093.58,176.14
demo-costa,2026-08-01,2026-10,1755,420,0.4179,281583.63,160.44
demo-centro,2026-08-02,2026-08,3665,927,0.5553,633004.3,172.73
demo-costa,2026-08-02,2026-08,1541,330,0.367,238624.79,154.83
demo-centro,2026-08-02,2026-09,4021,893,0.6092,708773.51,176.28
demo-costa,2026-08-02,2026-09,1842,381,0.4386,292948.97,159.03
demo-centro,2026-08-02,2026-10,3343,862,0.5065,588815.18,176.14
demo-costa,2026-08-02,2026-10,1753,420,0.4174,281292.89,160.44
demo-centro,2026-08-03,2026-08,3631,918,0.5501,627147.75,172.73
demo-costa,2026-08-03,2026-08,1543,330,0.3673,238854.82,154.83
demo-centro,2026-08-03,2026-09,3987,885,0.604,702727.21,176.28
demo-costa,2026-08-03,2026-09,1936,401,0.461,307946.6,159.03
demo-centro,2026-08-03,2026-10,3527,909,0.5343,621207.78,176.14
demo-costa,2026-08-03,2026-10,1769,423,0.4211,283776.91,160.44
demo-centro,2026-08-04,2026-08,3590,908,0.5439,620037.17,172.73
demo-costa,2026-08-04,2026-08,1508,323,0.3591,233521.2,154.83
demo-centro,2026-08-04,2026-09,3951,877,0.5987,696536.03,176.28
demo-costa,2026-08-04,2026-09,1763,365,0.4198,280383.81,159.03
demo-centro,2026-08-04,2026-10,3343,862,0.5065,588867.12,176.14
demo-costa,2026-08-04,2026-10,1777,425,0.4231,285102.1,160.44
demo-centro,2026-08-05,2026-08,3968,1003,0.6012,685398.4,172.73
demo-costa,2026-08-05,2026-08,1605,344,0.3821,248454.31,154.83
demo-centro,2026-08-05,2026-09,3855,856,0.5841,679534.11,176.28
demo-costa,2026-08-05,2026-09,1859,385,0.4427,295713.88,159.03
demo-centro,2026-08-05,2026-10,3421,882,0.5183,602585.02,176.14
demo-costa,2026-08-05,2026-10,1773,424,0.422,284397.83,160.44
demo-centro,2026-08-06,2026-08,3834,969,0.5809,662244.06,172.73
demo-costa,2026-08-06,2026-08,1612,345,0.3839,249615.47,154.83
demo-centro,2026-08-06,2026-09,3885,863,0.5887,684869.86,176.28
demo-costa,2026-08-06,2026-09,1797,372,0.4279,285839.31,159.03
demo-centro,2026-08-06,2026-10,3249,837,0.4922,572232.26,176.14
demo-costa,2026-08-06,2026-10,1871,448,0.4455,300210.8,160.44
demo-centro,2026-08-07,2026-08,3703,936,0.5611,639640.27,172.73
demo-costa,2026-08-07,2026-08,1600,343,0.3809,247695.96,154.83
demo-centro,2026-08-07,2026-09,3948,877,0.5981,695888.94,176.28
demo-costa,2026-08-07,2026-09,1977,409,0.4706,314333.0,159.03
demo-centro,2026-08-07,2026-10,3300,850,0.4999,581201.24,176.14
demo-costa,2026-08-07,2026-10,1806,432,0.4301,289796.05,160.44
demo-centro,2026-08-08,2026-08,3850,973,0.5833,665004.98,172.73
demo-costa,2026-08-08,2026-08,1593,341,0.3792,246591.43,154.83
demo-centro,2026-08-08,2026-09,3946,876,0.5979,695584.77,176.28
demo-costa,2026-08-08,2026-09,1915,396,0.4559,304475.79,159.03
demo-centro,2026-08-08,2026-10,3379,871,0.5119,595160.85,176.14
demo-costa,2026-08-08,2026-10,1806,432,0.43,289734.58,160.44
demo-centro,2026-08-09,2026-08,3890,984,0.5894,671907.97,172.73
demo-costa,2026-08-09,2026-08,1542,330,0.367,238675.97,154.83
demo-centro,2026-08-09,2026-09,4268,948,0.6466,752265.59,176.28
demo-costa,2026-08-09,2026-09,1848,383,0.44,293888.18,159.03
demo-centro,2026-08-09,2026-10,3340,861,0.5061,588378.59,176.14
demo-costa,2026-08-09,2026-10,1870,448,0.4453,300065.17,160.44
demo-centro,2026-08-10,2026-08,3818,965,0.5785,659509.15,172.73
demo-costa,2026-08-10,2026-08,1618,347,0.3853,250567.91,154.83
demo-centro,2026-08-10,2026-09,4176,927,0.6328,736155.67,176.28
demo-costa,2026-08-10,2026-09,1881,390,0.4479,299166.18,159.03
demo-centro,2026-08-10,2026-10,3355,865,0.5083,590938.19,176.14
demo-costa,2026-08-10,2026-10,1921,460,0.4574,308195.16,160.44
demo-centro,2026-08-11,2026-08,3914,990,0.593,676056.39,172.73
demo-costa,2026-08-11,2026-08,1573,337,0.3745,243546.62,154.83
demo-centro,2026-08-11,2026-09,4138,919,0.627,729454.3,176.28
demo-costa,2026-08-11,2026-09,1867,387,0.4446,296958.98,159.03
demo-centro,2026-08-11,2026-10,3580,923,0.5425,630638.6,176.14
demo-costa,2026-08-11,2026-10,1865,447,0.4441,299284.63,160.44
demo-centro,2026-08-12,2026-08,3856,975,0.5843,666137.85,172.73
demo-costa,2026-08-12,2026-08,1594,342,0.3796,246836.66,154.83
demo-centro,2026-08-12,2026-09,4238,941,0.6421,747051.73,176.28
demo-costa,2026-08-12,2026-09,1888,391,0.4495,300251.36,159.03
demo-centro,2026-08-12,2026-10,3520,907,0.5334,620113.75,176.14
demo-costa,2026-08-12,2026-10,1883,451,0.4483,302119.58,160.44
demo-centro,2026-08-13,2026-08,3946,998,0.5979,681630.37,172.73
demo-costa,2026-08-13,2026-08,1672,358,0.3981,258849.75,154.83
demo-centro,2026-08-13,2026-09,4118,914,0.6239,725896.92,176.28
demo-costa,2026-08-13,2026-09,1982,410,0.4718,315143.59,159.03
demo-centro,2026-08-13,2026-10,3546,914,0.5372,624570.25,176.14
demo-costa,2026-08-13,2026-10,1882,451,0.4482,302025.14,160.44
demo-centro,2026-08-14,2026-08,4055,1025,0.6144,700431.84,172.73
demo-costa,2026-08-14,2026-08,1564,335,0.3723,242103.88,154.83
demo-centro,2026-08-14,2026-09,4349,966,0.659,766705.47,176.28
demo-costa,2026-08-14,2026-09,1915,397,0.456,304545.79,159.03
demo-centro,2026-08-14,2026-10,3453,890,0.5232,608202.42,176.14
demo-costa,2026-08-14,2026-10,1931,462,0.4597,309778.29,160.44
demo-centro,2026-08-15,2026-08,3812,964,0.5776,658497.14,172.73
demo-costa,2026-08-15,2026-08,1660,356,0.3952,256973.29,154.83
demo-centro,2026-08-15,2026-09,4352,966,0.6594,767187.63,176.28
demo-costa,2026-08-15,2026-09,1996,413,0.4752,317413.87,159.03
demo-centro,2026-08-15,2026-10,3678,948,0.5573,647887.83,176.14
demo-costa,2026-08-15,2026-10,1929,462,0.4592,309435.14,160.44
demo-centro,2026-08-16,2026-08,4026,1018,0.6101,695497.11,172.73
demo-costa,2026-08-16,2026-08,1621,347,0.3861,251044.46,154.83
demo-centro,2026-08-16,2026-09,4329,961,0.6559,763136.38,176.28
demo-costa,2026-08-16,2026-09,1987,411,0.473,315950.02,159.03
demo-centro,2026-08-16,2026-10,3505,903,0.5311,617472.77,176.14
demo-costa,2026-08-16,2026-10,1919,459,0.4569,307903.01,160.44
demo-centro,2026-08-17,2026-08,3891,984,0.5895,672018.74,172.73
demo-costa,2026-08-17,2026-08,1687,361,0.4017,261237.81,154.83
demo-centro,2026-08-17,2026-09,4207,934,0.6374,741535.63,176.28
demo-costa,2026-08-17,2026-09,1916,397,0.4563,304747.82,159.03
demo-centro,2026-08-17,2026-10,3675,947,0.5568,647331.15,176.14
demo-costa,2026-08-17,2026-10,1901,455,0.4526,304993.82,160.44
demo-centro,2026-08-18,2026-08,4115,1040,0.6235,710764.48,172.73
demo-costa,2026-08-18,2026-08,1627,349,0.3875,251957.71,154.83
demo-centro,2026-08-18,2026-09,4181,929,0.6335,737045.37,176.28
demo-costa,2026-08-18,2026-09,1952,404,0.4648,310457.6,159.03
demo-centro,2026-08-18,2026-10,3721,959,0.5637,655382.13,176.14
demo-costa,2026-08-18,2026-10,1996,478,0.4753,320317.11,160.44
demo-centro,2026-08-19,2026-08,4094,1035,0.6202,707086.77,172.73
demo-costa,2026-08-19,2026-08,1710,366,0.4072,264773.28,154.83
demo-centro,2026-08-19,2026-09,4348,966,0.6589,766529.9,176.28
demo-costa,2026-08-19,2026-09,1945,403,0.4632,309382.52,159.03
demo-centro,2026-08-19,2026-10,3751,967,0.5684,660803.74,176.14
demo-costa,2026-08-19,2026-10,1950,467,0.4643,312846.26,160.44
demo-centro,2026-08-20,2026-08,3990,1009,0.6046,689268.55,172.73
demo-costa,2026-08-20,2026-08,1621,347,0.3859,250972.96,154.83
demo-centro,2026-08-20,2026-09,4347,965,0.6586,766243.12,176.28
demo-costa,2026-08-20,2026-09,2064,427,0.4915,328260.83,159.03
demo-centro,2026-08-20,2026-10,3613,931,0.5475,636463.34,176.14
demo-costa,2026-08-20,2026-10,1949,466,0.464,312642.66,160.44
demo-centro,2026-08-21,2026-08,4123,1042,0.6246,712101.07,172.73
demo-costa,2026-08-21,2026-08,1716,368,0.4087,265744.82,154.83
demo-centro,2026-08-21,2026-09,4463,991,0.6763,786776.1,176.28
demo-costa,2026-08-21,2026-09,2017,418,0.4802,320751.07,159.03
demo-centro,2026-08-21,2026-10,3738,963,0.5664,658453.25,176.14
demo-costa,2026-08-21,2026-10,1957,469,0.466,314001.28,160.44
demo-centro,2026-08-22,2026-08,4064,1028,0.6158,702052.93,172.73
demo-costa,2026-08-22,2026-08,1694,363,0.4033,262236.64,154.83
demo-centro,2026-08-22,2026-09,4496,998,0.6811,792447.84,176.28
demo-costa,2026-08-22,2026-09,2009,416,0.4784,319558.48,159.03
demo-centro,2026-08-22,2026-10,3752,967,0.5684,660810.19,176.14
demo-costa,2026-08-22,2026-10,1938,464,0.4615,311003.2,160.44
demo-centro,2026-08-23,2026-08,4164,1053,0.631,719320.54,172.73
demo-costa,2026-08-23,2026-08,1666,357,0.3967,257946.08,154.83
demo-centro,2026-08-23,2026-09,4336,963,0.657,764345.1,176.28
demo-costa,2026-08-23,2026-09,2072,429,0.4933,329458.6,159.03
demo-centro,2026-08-23,2026-10,3642,939,0.5519,641556.35,176.14
demo-costa,2026-08-23,2026-10,1927,461,0.4588,309162.23,160.44
demo-centro,2026-08-24,2026-08,4199,1062,0.6361,725217.43,172.73
demo-costa,2026-08-24,2026-08,1675,359,0.3988,259303.89,154.83
demo-centro,2026-08-24,2026-09,4426,983,0.6706,780223.65,176.28
demo-costa,2026-08-24,2026-09,2020,418,0.4809,321228.95,159.03
demo-centro,2026-08-24,2026-10,3695,952,0.5599,650918.32,176.14
demo-costa,2026-08-24,2026-10,1946,466,0.4633,312221.39,160.44
demo-centro,2026-08-25,2026-08,4143,1048,0.6277,715639.38,172.73
demo-costa,2026-08-25,2026-08,1707,366,0.4064,264255.35,154.83
demo-centro,2026-08-25,2026-09,4566,1014,0.6919,804945.04,176.28
demo-costa,2026-08-25,2026-09,2079,430,0.495,330601.95,159.03
demo-centro,2026-08-25,2026-10,3705,955,0.5613,652530.49,176.14
demo-costa,2026-08-25,2026-10,2019,483,0.4807,323929.15,160.44
demo-centro,2026-08-26,2026-08,4204,1063,0.6369,726092.62,172.73
demo-costa,2026-08-26,2026-08,1751,375,0.4169,271118.12,154.83
demo-centro,2026-08-26,2026-09,4448,988,0.674,784141.72,176.28
demo-costa,2026-08-26,2026-09,2084,431,0.4961,331354.96,159.03
demo-centro,2026-08-26,2026-10,3832,988,0.5806,674974.22,176.14
demo-costa,2026-08-26,2026-10,1998,478,0.4757,320558.77,160.44
demo-centro,2026-08-27,2026-08,4191,1060,0.6349,723849.68,172.73
demo-costa,2026-08-27,2026-08,1749,375,0.4164,270751.97,154.83
demo-centro,2026-08-27,2026-09,4400,977,0.6666,775587.91,176.28
demo-costa,2026-08-27,2026-09,2112,437,0.5029,335905.48,159.03
demo-centro,2026-08-27,2026-10,3690,951,0.559,649901.55,176.14
demo-costa,2026-08-27,2026-10,1985,475,0.4725,318433.75,160.44
demo-centro,2026-08-28,2026-08,4117,1041,0.6238,711128.82,172.73
demo-costa,2026-08-28,2026-08,1758,377,0.4185,272126.67,154.83
demo-centro,2026-08-28,2026-09,4437,985,0.6723,782165.13,176.28
demo-costa,2026-08-28,2026-09,2119,439,0.5045,336946.53,159.03
demo-centro,2026-08-28,2026-10,3752,967,0.5685,660950.29,176.14
