hotel,fecha,tipo,total_occ,arr_rooms,comp_rooms,house_use,deduct_indiv,deduct_group,occ_pct,room_revenue,adr,dep_rooms,day_use,no_show,ooo,personas,fecha_reporte
demo-costa,2024-02-22,History,133,47,0,0,111,22,0.95,20655.68,155.31,44,0,0,0,226,2026-09-25
demo-centro,2024-02-23,History,136,48,0,0,111,25,0.6182,21206.64,155.93,45,0,0,0,231,2026-09-25
demo-costa,2024-02-23,History,137,48,0,0,89,48,0.9786,22116.99,161.44,45,0,0,0,233,2026-09-25
demo-centro,2024-02-24,History,129,45,0,0,97,32,0.5864,19061.51,147.76,43,0,0,0,219,2026-09-25
demo-costa,2024-02-24,History,137,48,0,0,114,23,0.9786,21672.15,158.19,45,0,0,0,233,2026-09-25
demo-centro,2024-02-25,History,104,36,0,0,88,16,0.4727,15513.81,149.17,34,0,0,0,177,2026-09-25
demo-costa,2024-02-25,History,123,43,0,0,105,18,0.8786,19905.74,161.84,41,0,0,0,209,2026-09-25
demo-centro,2024-02-26,History,115,40,0,0,88,27,0.5227,17606.5,153.1,38,0,0,0,196,2026-09-25
demo-costa,2024-02-26,History,127,44,0,0,93,34,0.9071,21178.9,166.76,42,0,0,0,216,2026-09-25
demo-centro,2024-02-27,History,91,32,0,0,74,17,0.4136,14778.74,162.4,30,0,0,0,155,2026-09-25
demo-costa,2024-02-27,History,132,46,0,0,92,40,0.9429,20827.98,157.79,44,0,0,0,224,2026-09-25
demo-centro,2024-02-28,History,116,41,0,0,93,23,0.5273,18497.55,159.46,38,0,0,0,197,2026-09-25
demo-costa,2024-02-28,History,127,44,0,0,98,29,0.9071,19755.41,155.55,42,0,0,0,216,2026-09-25
demo-centro,2024-02-29,History,128,45,0,0,100,28,0.5818,20745.94,162.08,42,0,0,0,218,2026-09-25
demo-costa,2024-02-29,History,137,48,0,0,102,35,0.9786,22046.69,160.92,45,0,0,0,233,2026-09-25
demo-centro,2024-03-01,History,139,49,0,0,121,18,0.6318,21816.22,156.95,46,0,0,0,236,2026-09-25
demo-costa,2024-03-01,History,110,38,0,0,83,27,0.7857,15988.28,145.35,36,0,0,0,187,2026-09-25
demo-centro,2024-03-02,History,135,47,0,0,107,28,0.6136,21323.93,157.96,45,0,0,0,230,2026-09-25
demo-costa,2024-03-02,History,110,38,0,0,78,32,0.7857,17061.89,155.11,36,0,0,0,187,2026-09-25
demo-centro,2024-03-03,History,132,46,0,0,104,28,0.6,20105.77,152.32,44,0,0,0,224,2026-09-25
demo-costa,2024-03-03,History,93,33,0,0,72,21,0.6643,14444.83,155.32,31,0,0,0,158,2026-09-25
demo-centro,2024-03-04,History,152,53,0,0,129,23,0.6909,24897.91,163.8,50,0,0,0,258,2026-09-25
demo-costa,2024-03-04,History,94,33,0,0,70,24,0.6714,14678.85,156.16,31,0,0,0,160,2026-09-25
demo-centro,2024-03-05,History,133,47,0,0,100,33,0.6045,21078.39,158.48,44,0,0,0,226,2026-09-25
demo-costa,2024-03-05,History,112,39,0,0,96,16,0.8,16387.92,146.32,37,0,0,0,190,2026-09-25
demo-centro,2024-03-06,History,134,47,0,0,88,46,0.6091,22041.61,164.49,44,0,0,0,228,2026-09-25
demo-costa,2024-03-06,History,92,32,0,0,74,18,0.6571,14083.93,153.09,30,0,0,0,156,2026-09-25
demo-centro,2024-03-07,History,122,43,0,0,104,18,0.5545,19261.78,157.88,40,0,0,0,207,2026-09-25
demo-costa,2024-03-07,History,103,36,0,0,67,36,0.7357,15782.61,153.23,34,0,0,0,175,2026-09-25
demo-centro,2024-03-08,History,146,51,0,0,118,28,0.6636,22993.96,157.49,48,0,0,0,248,2026-09-25
demo-costa,2024-03-08,History,115,40,0,0,87,28,0.8214,16604.94,144.39,38,0,0,0,196,2026-09-25
demo-centro,2024-03-09,History,137,48,0,0,102,35,0.6227,21112.04,154.1,45,0,0,0,233,2026-09-25
demo-costa,2024-03-09,History,101,35,0,0,75,26,0.7214,14646.68,145.02,33,0,0,0,172,2026-09-25
demo-centro,2024-03-10,History,116,41,0,0,86,30,0.5273,18145.1,156.42,38,0,0,0,197,2026-09-25
demo-costa,2024-03-10,History,80,28,0,0,61,19,0.5714,11538.7,144.23,26,0,0,0,136,2026-09-25
demo-centro,2024-03-11,History,122,43,0,0,97,25,0.5545,18787.08,153.99,40,0,0,0,207,2026-09-25
demo-costa,2024-03-11,History,87,30,0,0,72,15,0.6214,12897.25,148.24,29,0,0,0,148,2026-09-25
demo-centro,2024-03-12,History,133,47,0,0,105,28,0.6045,21631.0,162.64,44,0,0,0,226,2026-09-25
demo-costa,2024-03-12,History,86,30,0,0,61,25,0.6143,12782.97,148.64,28,0,0,0,146,2026-09-25
demo-centro,2024-03-13,History,124,43,0,0,102,22,0.5636,20620.41,166.29,41,0,0,0,211,2026-09-25
demo-costa,2024-03-13,History,80,28,0,0,67,13,0.5714,11800.29,147.5,26,0,0,0,136,2026-09-25
demo-centro,2024-03-14,History,125,44,0,0,84,41,0.5682,20548.58,164.39,41,0,0,0,212,2026-09-25
demo-costa,2024-03-14,History,90,31,0,0,71,19,0.6429,14087.53,156.53,30,0,0,0,153,2026-09-25
demo-centro,2024-03-15,History,138,48,0,0,123,15,0.6273,21194.61,153.58,46,0,0,0,235,2026-09-25
demo-costa,2024-03-15,History,101,35,0,0,87,14,0.7214,14547.56,144.04,33,0,0,0,172,2026-09-25
demo-centro,2024-03-16,History,150,52,0,0,115,35,0.6818,24902.79,166.02,50,0,0,0,255,2026-09-25
demo-costa,2024-03-16,History,101,35,0,0,90,11,0.7214,14671.35,145.26,33,0,0,0,172,2026-09-25
demo-centro,2024-03-17,History,140,49,0,0,115,25,0.6364,21576.14,154.12,46,0,0,0,238,2026-09-25
demo-costa,2024-03-17,History,94,33,0,0,76,18,0.6714,14512.26,154.39,31,0,0,0,160,2026-09-25
demo-centro,2024-03-18,History,133,47,0,0,102,31,0.6045,20130.38,151.36,44,0,0,0,226,2026-09-25
demo-costa,2024-03-18,History,82,29,0,0,57,25,0.5857,12657.93,154.36,27,0,0,0,139,2026-09-25
demo-centro,2024-03-19,History,139,49,0,0,125,14,0.6318,23128.0,166.39,46,0,0,0,236,2026-09-25
demo-costa,2024-03-19,History,105,37,0,0,81,24,0.75,16593.63,158.03,35,0,0,0,178,2026-09-25
demo-centro,2024-03-20,History,147,51,0,0,114,33,0.6682,23966.43,163.04,49,0,0,0,250,2026-09-25
demo-costa,2024-03-20,History,108,38,0,0,87,21,0.7714,16160.36,149.63,36,0,0,0,184,2026-09-25
demo-centro,2024-03-21,History,130,46,0,0,111,19,0.5909,20736.77,159.51,43,0,0,0,221,2026-09-25
demo-costa,2024-03-21,History,101,35,0,0,72,29,0.7214,15652.05,154.97,33,0,0,0,172,2026-09-25
demo-centro,2024-03-22,History,158,55,0,0,129,29,0.7182,25225.23,159.65,52,0,0,0,269,2026-09-25
demo-costa,2024-03-22,History,100,35,0,0,68,32,0.7143,15055.1,150.55,33,0,0,0,170,2026-09-25
demo-centro,2024-03-23,History,145,51,0,0,109,36,0.6591,23539.85,162.34,48,0,0,0,246,2026-09-25
demo-costa,2024-03-23,History,87,30,0,0,64,23,0.6214,12706.9,146.06,29,0,0,0,148,2026-09-25
demo-centro,2024-03-24,History,124,43,0,0,103,21,0.5636,20501.3,165.33,41,0,0,0,211,2026-09-25
demo-costa,2024-03-24,History,91,32,0,0,71,20,0.65,14018.4,154.05,30,0,0,0,155,2026-09-25
demo-centro,2024-03-25,History,134,47,0,0,92,42,0.6091,20730.8,154.71,44,0,0,0,228,2026-09-25
demo-costa,2024-03-25,History,93,33,0,0,69,24,0.6643,14307.04,153.84,31,0,0,0,158,2026-09-25
demo-centro,2024-03-26,History,137,48,0,0,115,22,0.6227,22037.58,160.86,45,0,0,0,233,2026-09-25
demo-costa,2024-03-26,History,83,29,0,0,55,28,0.5929,12763.19,153.77,27,0,0,0,141,2026-09-25
demo-centro,2024-03-27,History,147,51,0,0,104,43,0.6682,22551.88,153.41,49,0,0,0,250,2026-09-25
demo-costa,2024-03-27,History,96,34,0,0,69,27,0.6857,14567.53,151.75,32,0,0,0,163,2026-09-25
demo-centro,2024-03-28,History,138,48,0,0,98,40,0.6273,21678.8,157.09,46,0,0,0,235,2026-09-25
demo-costa,2024-03-28,History,104,36,0,0,92,12,0.7429,15531.28,149.34,34,0,0,0,177,2026-09-25
demo-centro,2024-03-29,History,153,54,0,0,118,35,0.6955,25365.27,165.79,50,0,0,0,260,2026-09-25
demo-costa,2024-03-29,History,117,41,0,0,103,14,0.8357,18440.91,157.61,39,0,0,0,199,2026-09-25
demo-centro,2024-03-30,History,140,49,0,0,97,43,0.6364,22940.62,163.86,46,0,0,0,238,2026-09-25
demo-costa,2024-03-30,History,113,40,0,0,95,18,0.8071,17561.42,155.41,37,0,0,0,192,2026-09-25
demo-centro,2024-03-31,History,131,46,0,0,96,35,0.5955,20507.35,156.54,43,0,0,0,223,2026-09-25
demo-costa,2024-03-31,History,76,27,0,0,63,13,0.5429,11086.67,145.88,25,0,0,0,129,2026-09-25
demo-centro,2024-04-01,History,148,52,0,0,133,15,0.6727,22531.49,152.24,49,0,0,0,252,2026-09-25
demo-costa,2024-04-01,History,68,24,0,0,57,11,0.4857,9614.29,141.39,22,0,0,0,116,2026-09-25
demo-centro,2024-04-02,History,152,53,0,0,107,45,0.6909,24583.55,161.73,50,0,0,0,258,2026-09-25
demo-costa,2024-04-02,History,89,31,0,0,64,25,0.6357,13089.81,147.08,29,0,0,0,151,2026-09-25
demo-centro,2024-04-03,History,141,49,0,0,125,16,0.6409,22544.38,159.89,47,0,0,0,240,2026-09-25
demo-costa,2024-04-03,History,80,28,0,0,55,25,0.5714,11776.38,147.2,26,0,0,0,136,2026-09-25
demo-centro,2024-04-04,History,147,51,0,0,97,50,0.6682,23329.06,158.7,49,0,0,0,250,2026-09-25
demo-costa,2024-04-04,History,70,24,0,0,47,23,0.5,10451.15,149.3,23,0,0,0,119,2026-09-25
demo-centro,2024-04-05,History,175,61,0,0,143,32,0.7955,28350.78,162.0,58,0,0,0,298,2026-09-25
demo-costa,2024-04-05,History,88,31,0,0,75,13,0.6286,13252.12,150.59,29,0,0,0,150,2026-09-25
demo-centro,2024-04-06,History,152,53,0,0,118,34,0.6909,24085.87,158.46,50,0,0,0,258,2026-09-25
demo-costa,2024-04-06,History,98,34,0,0,80,18,0.7,14126.26,144.15,32,0,0,0,167,2026-09-25
demo-centro,2024-04-07,History,141,49,0,0,116,25,0.6409,21544.12,152.8,47,0,0,0,240,2026-09-25
demo-costa,2024-04-07,History,65,23,0,0,49,16,0.4643,9921.21,152.63,21,0,0,0,110,2026-09-25
demo-centro,2024-04-08,History,136,48,0,0,93,43,0.6182,22116.04,162.62,45,0,0,0,231,2026-09-25
demo-costa,2024-04-08,History,73,26,0,0,61,12,0.5214,10770.1,147.54,24,0,0,0,124,2026-09-25
demo-centro,2024-04-09,History,128,45,0,0,99,29,0.5818,21327.53,166.62,42,0,0,0,218,2026-09-25
demo-costa,2024-04-09,History,72,25,0,0,53,19,0.5143,10100.11,140.28,24,0,0,0,122,2026-09-25
demo-centro,2024-04-10,History,152,53,0,0,113,39,0.6909,25282.52,166.33,50,0,0,0,258,2026-09-25
demo-costa,2024-04-10,History,80,28,0,0,72,8,0.5714,11294.78,141.18,26,0,0,0,136,2026-09-25
demo-centro,2024-04-11,History,143,50,0,0,103,40,0.65,23693.37,165.69,47,0,0,0,243,2026-09-25
demo-costa,2024-04-11,History,65,23,0,0,58,7,0.4643,9737.64,149.81,21,0,0,0,110,2026-09-25
demo-centro,2024-04-12,History,157,55,0,0,122,35,0.7136,26026.75,165.78,52,0,0,0,267,2026-09-25
demo-costa,2024-04-12,History,81,28,0,0,57,24,0.5786,11454.89,141.42,27,0,0,0,138,2026-09-25
demo-centro,2024-04-13,History,176,62,0,0,146,30,0.8,28348.16,161.07,58,0,0,0,299,2026-09-25
demo-costa,2024-04-13,History,81,28,0,0,67,14,0.5786,11996.74,148.11,27,0,0,0,138,2026-09-25
demo-centro,2024-04-14,History,132,46,0,0,96,36,0.6,21017.08,159.22,44,0,0,0,224,2026-09-25
demo-costa,2024-04-14,History,66,23,0,0,57,9,0.4714,9472.6,143.52,22,0,0,0,112,2026-09-25
demo-centro,2024-04-15,History,138,48,0,0,97,41,0.6273,22198.51,160.86,46,0,0,0,235,2026-09-25
demo-costa,2024-04-15,History,79,28,0,0,67,12,0.5643,11543.21,146.12,26,0,0,0,134,2026-09-25
demo-centro,2024-04-16,History,131,46,0,0,105,26,0.5955,20043.28,153.0,43,0,0,0,223,2026-09-25
demo-costa,2024-04-16,History,75,26,0,0,64,11,0.5357,11095.11,147.93,25,0,0,0,128,2026-09-25
demo-centro,2024-04-17,History,129,45,0,0,108,21,0.5864,21376.75,165.71,43,0,0,0,219,2026-09-25
demo-costa,2024-04-17,History,86,30,0,0,74,12,0.6143,12972.09,150.84,28,0,0,0,146,2026-09-25
demo-centro,2024-04-18,History,147,51,0,0,112,35,0.6682,24392.05,165.93,49,0,0,0,250,2026-09-25
demo-costa,2024-04-18,History,79,28,0,0,56,23,0.5643,12100.57,153.17,26,0,0,0,134,2026-09-25
demo-centro,2024-04-19,History,168,59,0,0,150,18,0.7636,25609.97,152.44,55,0,0,0,286,2026-09-25
demo-costa,2024-04-19,History,85,30,0,0,61,24,0.6071,12989.26,152.81,28,0,0,0,144,2026-09-25
demo-centro,2024-04-20,History,148,52,0,0,97,51,0.6727,22874.24,154.56,49,0,0,0,252,2026-09-25
demo-costa,2024-04-20,History,90,31,0,0,69,21,0.6429,12614.66,140.16,30,0,0,0,153,2026-09-25
demo-centro,2024-04-21,History,139,49,0,0,118,21,0.6318,21140.85,152.09,46,0,0,0,236,2026-09-25
demo-costa,2024-04-21,History,74,26,0,0,62,12,0.5286,10659.2,144.04,24,0,0,0,126,2026-09-25
demo-centro,2024-04-22,History,149,52,0,0,117,32,0.6773,24774.93,166.27,49,0,0,0,253,2026-09-25
demo-costa,2024-04-22,History,62,22,0,0,42,20,0.4429,9424.16,152.0,20,0,0,0,105,2026-09-25
demo-centro,2024-04-23,History,131,46,0,0,102,29,0.5955,21637.14,165.17,43,0,0,0,223,2026-09-25
demo-costa,2024-04-23,History,78,27,0,0,59,19,0.5571,11681.18,149.76,26,0,0,0,133,2026-09-25
demo-centro,2024-04-24,History,146,51,0,0,119,27,0.6636,24153.22,165.43,48,0,0,0,248,2026-09-25
demo-costa,2024-04-24,History,81,28,0,0,53,28,0.5786,11418.39,140.97,27,0,0,0,138,2026-09-25
demo-centro,2024-04-25,History,140,49,0,0,91,49,0.6364,22095.99,157.83,46,0,0,0,238,2026-09-25
demo-costa,2024-04-25,History,81,28,0,0,72,9,0.5786,12347.18,152.43,27,0,0,0,138,2026-09-25
demo-centro,2024-04-26,History,154,54,0,0,107,47,0.7,23412.74,152.03,51,0,0,0,262,2026-09-25
demo-costa,2024-04-26,History,89,31,0,0,67,22,0.6357,12681.97,142.49,29,0,0,0,151,2026-09-25
demo-centro,2024-04-27,History,141,49,0,0,101,40,0.6409,23438.32,166.23,47,0,0,0,240,2026-09-25
demo-costa,2024-04-27,History,78,27,0,0,66,12,0.5571,11531.6,147.84,26,0,0,0,133,2026-09-25
demo-centro,2024-04-28,History,120,42,0,0,93,27,0.5455,19899.85,165.83,40,0,0,0,204,2026-09-25
demo-costa,2024-04-28,History,82,29,0,0,54,28,0.5857,12099.15,147.55,27,0,0,0,139,2026-09-25
