fecha,hotel_id,hotel,habitaciones_disponibles,habitaciones_ocupadas,habitaciones_fuera_servicio,huespedes,llegadas,salidas,ocupacion_pct,adr,ingreso_habitaciones,ingreso_ayb,ingreso_otros,ingreso_total,origen,actualizado
2024-01-15,hotel-demo-1,Hotel Demo Centro,118,52,2,92,22,19,44.07,76326.02,3968952.85,1002352.61,132473.36,5103778.82,demo,
2024-01-15,hotel-demo-2,Hotel Demo Costa,64,63,0,111,21,25,98.44,113149.49,7128418.01,1465437.12,258081.28,8851936.41,demo,
2024-01-16,hotel-demo-1,Hotel Demo Centro,118,54,2,108,23,24,45.76,76057.19,4107088.51,741213.19,125482.91,4973784.61,demo,
2024-01-16,hotel-demo-2,Hotel Demo Costa,64,59,0,120,26,26,92.19,117884.13,6955163.88,1696026.35,290207.28,8941397.51,demo,
2024-01-17,hotel-demo-1,Hotel Demo Centro,119,62,1,124,26,21,52.10,75732.28,4695401.64,1131114.63,147312.53,5973828.80,demo,
2024-01-17,hotel-demo-2,Hotel Demo Costa,64,63,0,111,20,25,98.44,121278.26,7640530.55,1497153.21,157482.04,9295165.79,demo,
2024-01-18,hotel-demo-1,Hotel Demo Centro,120,70,0,144,25,31,58.33,77762.59,5443381.06,1384311.54,202896.05,7030588.65,demo,
2024-01-18,hotel-demo-2,Hotel Demo Costa,62,52,2,96,20,18,83.87,119477.79,6212844.91,1290881.94,204100.28,7707827.13,demo,
2024-01-19,hotel-demo-1,Hotel Demo Centro,120,69,0,130,29,27,57.50,78139.64,5391635.47,1367153.84,233130.24,6991919.54,demo,
2024-01-19,hotel-demo-2,Hotel Demo Costa,64,60,0,107,25,21,93.75,110844.95,6650697.17,1649879.86,169294.80,8469871.83,demo,
2024-01-20,hotel-demo-1,Hotel Demo Centro,119,71,1,132,24,28,59.66,76932.34,5462195.84,990730.14,157459.09,6610385.07,demo,
2024-01-20,hotel-demo-2,Hotel Demo Costa,64,63,0,121,26,21,98.44,112043.35,7058731.28,1379323.69,166491.77,8604546.74,demo,
2024-01-21,hotel-demo-1,Hotel Demo Centro,120,59,0,102,20,26,49.17,79032.50,4662917.64,886544.85,99625.43,5649087.92,demo,
2024-01-21,hotel-demo-2,Hotel Demo Costa,64,59,0,110,18,23,92.19,121737.65,7182521.49,1567357.88,320796.33,9070675.70,demo,
2024-01-22,hotel-demo-1,Hotel Demo Centro,118,63,2,122,23,24,53.39,76583.68,4824771.75,1219125.02,139535.26,6183432.03,demo,
2024-01-22,hotel-demo-2,Hotel Demo Costa,62,57,2,110,20,19,91.94,111768.72,6370817.13,1148110.81,213518.64,7732446.58,demo,
2024-01-23,hotel-demo-1,Hotel Demo Centro,118,68,2,119,21,28,57.63,75464.34,5131574.83,984847.49,143524.88,6259947.20,demo,
2024-01-23,hotel-demo-2,Hotel Demo Costa,62,58,2,109,20,20,93.55,116790.36,6773840.86,1262883.38,143577.14,8180301.37,demo,
2024-01-24,hotel-demo-1,Hotel Demo Centro,119,73,1,153,27,31,61.34,77836.10,5682035.30,1223787.40,161055.57,7066878.27,demo,
2024-01-24,hotel-demo-2,Hotel Demo Costa,63,62,1,113,22,28,98.41,120665.47,7481259.13,1675859.86,251705.30,9408824.29,demo,
2024-01-25,hotel-demo-1,Hotel Demo Centro,120,64,0,120,26,20,53.33,75472.11,4830215.06,1081666.63,231030.07,6142911.76,demo,
2024-01-25,hotel-demo-2,Hotel Demo Costa,64,57,0,108,23,21,89.06,116679.31,6650720.50,1259628.45,299044.96,8209393.91,demo,
2024-01-26,hotel-demo-1,Hotel Demo Centro,120,80,0,161,27,24,66.67,79990.03,6399202.46,1589261.07,193231.96,8181695.49,demo,
2024-01-26,hotel-demo-2,Hotel Demo Costa,62,61,2,128,20,22,98.39,115825.05,7065328.05,1799031.62,325627.20,9189986.87,demo,
2024-01-27,hotel-demo-1,Hotel Demo Centro,120,69,0,120,29,22,57.50,75042.23,5177913.79,1331905.90,155129.47,6664949.16,demo,
2024-01-27,hotel-demo-2,Hotel Demo Costa,62,61,2,124,26,22,98.39,119661.40,7299345.59,1693352.79,332506.79,9325205.17,demo,
2024-01-28,hotel-demo-1,Hotel Demo Centro,119,68,1,118,22,23,57.14,81778.14,5560913.28,1339232.38,228646.54,7128792.20,demo,
2024-01-28,hotel-demo-2,Hotel Demo Costa,64,57,0,111,19,25,89.06,113654.45,6478303.78,1207021.16,298812.98,7984137.92,demo,
2024-01-29,hotel-demo-1,Hotel Demo Centro,120,67,0,132,25,23,55.83,81944.30,5490268.08,1119643.22,268259.29,6878170.58,demo,
2024-01-29,hotel-demo-2,Hotel Demo Costa,63,62,1,124,19,24,98.41,115013.83,7130857.49,1606399.08,289327.30,9026583.88,demo,
2024-01-30,hotel-demo-1,Hotel Demo Centro,120,59,0,108,22,23,49.17,79226.43,4674359.65,1179211.44,184124.05,6037695.13,demo,
2024-01-30,hotel-demo-2,Hotel Demo Costa,62,55,2,114,24,24,88.71,117822.88,6480258.13,1307730.27,161593.87,7949582.27,demo,
2024-01-31,hotel-demo-1,Hotel Demo Centro,118,60,2,115,22,24,50.85,77261.28,4635676.73,1127649.49,94649.21,5857975.43,demo,
2024-01-31,hotel-demo-2,Hotel Demo Costa,62,57,2,111,21,23,91.94,115907.62,6606734.60,1511664.32,260500.71,8378899.64,demo,
2024-02-01,hotel-demo-1,Hotel Demo Centro,118,56,2,104,18,21,47.46,77438.84,4336575.29,1038095.99,106834.51,5481505.79,demo,
2024-02-01,hotel-demo-2,Hotel Demo Costa,64,61,0,113,20,19,95.31,117628.19,7175319.50,1852864.11,220714.37,9248897.98,demo,
2024-02-02,hotel-demo-1,Hotel Demo Centro,120,75,0,152,25,31,62.50,80737.00,6055274.93,1358419.93,227626.82,7641321.68,demo,
2024-02-02,hotel-demo-2,Hotel Demo Costa,64,63,0,122,19,21,98.44,112924.11,7114218.99,1484448.54,310556.62,8909224.15,demo,
2024-02-03,hotel-demo-1,Hotel Demo Centro,118,69,2,145,29,25,58.47,76695.94,5292020.04,1224929.35,110785.90,6627735.29,demo,
2024-02-03,hotel-demo-2,Hotel Demo Costa,62,61,2,117,22,24,98.39,117941.93,7194457.91,1482165.06,358563.38,9035186.35,demo,
2024-02-04,hotel-demo-1,Hotel Demo Centro,119,58,1,106,20,26,48.74,77543.84,4497542.70,1072074.76,132121.84,5701739.30,demo,
2024-02-04,hotel-demo-2,Hotel Demo Costa,64,58,0,101,20,23,90.62,118523.90,6874386.35,1546234.50,205471.14,8626092.00,demo,
2024-02-05,hotel-demo-1,Hotel Demo Centro,120,59,0,107,20,21,49.17,77250.70,4557791.37,1023229.81,106864.53,5687885.71,demo,
2024-02-05,hotel-demo-2,Hotel Demo Costa,64,57,0,105,17,25,89.06,113881.80,6491262.80,1533339.50,189996.28,8214598.57,demo,
2024-02-06,hotel-demo-1,Hotel Demo Centro,120,59,0,102,19,23,49.17,80688.86,4760642.48,1073084.45,107346.35,5941073.28,demo,
2024-02-06,hotel-demo-2,Hotel Demo Costa,63,61,1,117,21,20,96.83,113192.30,6904730.24,1617484.37,260957.56,8783172.18,demo,
2024-02-07,hotel-demo-1,Hotel Demo Centro,120,55,0,112,23,17,45.83,77662.76,4271451.56,1009317.10,149534.42,5430303.08,demo,
2024-02-07,hotel-demo-2,Hotel Demo Costa,63,58,1,103,26,21,92.06,115426.91,6694760.57,1421984.45,327949.48,8444694.50,demo,
2024-02-08,hotel-demo-1,Hotel Demo Centro,120,62,0,110,26,22,51.67,75359.89,4672313.40,1077706.34,167820.83,5917840.56,demo,
2024-02-08,hotel-demo-2,Hotel Demo Costa,64,57,0,114,24,21,89.06,114231.37,6511187.87,1574586.54,226742.42,8312516.83,demo,
2024-02-09,hotel-demo-1,Hotel Demo Centro,120,64,0,121,20,23,53.33,79502.91,5088186.17,1059133.31,113088.60,6260408.08,demo,
2024-02-09,hotel-demo-2,Hotel Demo Costa,64,63,0,115,23,20,98.44,117582.14,7407674.53,1813289.64,293011.48,9513975.65,demo,
2024-02-10,hotel-demo-1,Hotel Demo Centro,118,62,2,115,26,25,52.54,79737.93,4943751.83,1033797.03,235016.59,6212565.45,demo,
2024-02-10,hotel-demo-2,Hotel Demo Costa,62,61,2,107,22,27,98.39,122726.23,7486300.16,1547185.89,280602.89,9314088.94,demo,
2024-02-11,hotel-demo-1,Hotel Demo Centro,118,51,2,87,18,23,43.22,75750.96,3863299.21,902607.64,136199.28,4902106.13,demo,
2024-02-11,hotel-demo-2,Hotel Demo Costa,62,48,2,88,20,15,77.42,122413.09,5875828.48,1473038.31,124170.50,7473037.30,demo,
2024-02-12,hotel-demo-1,Hotel Demo Centro,119,59,1,106,20,26,49.58,79924.62,4715552.87,1132634.74,205192.62,6053380.23,demo,
2024-02-12,hotel-demo-2,Hotel Demo Costa,62,55,2,111,18,19,88.71,118903.31,6539682.01,1682669.68,291059.91,8513411.59,demo,
2024-02-13,hotel-demo-1,Hotel Demo Centro,120,60,0,122,26,26,50.00,81759.55,4905572.75,918995.70,232107.90,6056676.35,demo,
2024-02-13,hotel-demo-2,Hotel Demo Costa,64,63,0,128,25,20,98.44,122170.66,7696751.65,1470140.89,220176.22,9387068.76,demo,
2024-02-14,hotel-demo-1,Hotel Demo Centro,120,59,0,115,23,18,49.17,77150.32,4551869.11,863707.46,123597.74,5539174.31,demo,
2024-02-14,hotel-demo-2,Hotel Demo Costa,64,59,0,102,26,18,92.19,115762.34,6829977.82,1457007.80,272728.79,8559714.42,demo,
2024-02-15,hotel-demo-1,Hotel Demo Centro,120,62,0,125,25,22,51.67,78087.32,4841414.03,1155332.20,188077.84,6184824.07,demo,
2024-02-15,hotel-demo-2,Hotel Demo Costa,64,60,0,109,18,20,93.75,113781.43,6826885.79,1652756.50,230273.50,8709915.79,demo,
2024-02-16,hotel-demo-1,Hotel Demo Centro,120,63,0,117,23,28,52.50,77606.87,4889232.76,1192715.58,161875.37,6243823.71,demo,
2024-02-16,hotel-demo-2,Hotel Demo Costa,63,62,1,113,19,25,98.41,120334.08,7460712.73,1833748.46,271303.09,9565764.28,demo,
2024-02-17,hotel-demo-1,Hotel Demo Centro,120,74,0,150,30,33,61.67,76118.81,5632792.26,1301180.66,174049.53,7108022.45,demo,
2024-02-17,hotel-demo-2,Hotel Demo Costa,62,61,2,113,22,19,98.39,113671.63,6933969.51,1333229.36,232271.87,8499470.74,demo,
2024-02-18,hotel-demo-1,Hotel Demo Centro,120,60,0,119,27,20,50.00,81210.42,4872625.29,960714.25,186895.95,6020235.50,demo,
2024-02-18,hotel-demo-2,Hotel Demo Costa,64,54,0,98,17,22,84.38,121883.53,6581710.85,1474301.73,188966.63,8244979.22,demo,
2024-02-19,hotel-demo-1,Hotel Demo Centro,119,56,1,97,19,25,47.06,82095.48,4597346.93,1030411.43,176347.11,5804105.47,demo,
2024-02-19,hotel-demo-2,Hotel Demo Costa,62,60,2,117,20,27,96.77,117657.91,7059474.33,1766540.35,306436.87,9132451.55,demo,
2024-02-20,hotel-demo-1,Hotel Demo Centro,120,54,0,104,17,19,45.00,82524.88,4456343.69,891484.54,174027.85,5521856.08,demo,
2024-02-20,hotel-demo-2,Hotel Demo Costa,62,61,2,127,25,21,98.39,114160.83,6963810.44,1734702.56,156244.83,8854757.82,demo,
2024-02-21,hotel-demo-1,Hotel Demo Centro,119,62,1,116,23,20,52.10,78237.46,4850722.60,901447.82,105733.10,5857903.52,demo,
2024-02-21,hotel-demo-2,Hotel Demo Costa,62,61,2,115,20,19,98.39,115067.44,7019113.74,1399183.32,166182.13,8584479.19,demo,
2024-02-22,hotel-demo-1,Hotel Demo Centro,118,62,2,108,22,23,52.54,79679.32,4940117.70,1236640.17,172514.38,6349272.26,demo,
2024-02-22,hotel-demo-2,Hotel Demo Costa,64,61,0,121,25,22,95.31,124082.35,7569023.64,1623360.45,351760.32,9544144.42,demo,
2024-02-23,hotel-demo-1,Hotel Demo Centro,120,78,0,163,30,28,65.00,77062.24,6010854.59,1128444.89,187514.32,7326813.80,demo,
2024-02-23,hotel-demo-2,Hotel Demo Costa,64,63,0,123,20,28,98.44,121329.17,7643737.99,1691104.10,228081.31,9562923.39,demo,
2024-02-24,hotel-demo-1,Hotel Demo Centro,119,63,1,124,19,23,52.94,80794.47,5090051.74,1240651.17,212559.17,6543262.08,demo,
2024-02-24,hotel-demo-2,Hotel Demo Costa,62,61,2,110,24,25,98.39,123488.34,7532788.85,1585013.48,336337.81,9454140.14,demo,
2024-02-25,hotel-demo-1,Hotel Demo Centro,120,63,0,119,22,28,52.50,80363.33,5062889.75,1138496.79,252859.38,6454245.91,demo,
2024-02-25,hotel-demo-2,Hotel Demo Costa,63,50,1,89,22,17,79.37,116619.63,5830981.47,1164572.55,214245.42,7209799.43,demo,
2024-02-26,hotel-demo-1,Hotel Demo Centro,119,68,1,137,22,21,57.14,83481.22,5676723.02,1200982.26,172311.48,7050016.76,demo,
2024-02-26,hotel-demo-2,Hotel Demo Costa,62,61,2,118,21,24,98.39,122819.91,7492014.76,1430838.74,288220.14,9211073.64,demo,
2024-02-27,hotel-demo-1,Hotel Demo Centro,119,48,1,94,20,16,40.34,81621.99,3917855.66,981233.99,134268.79,5033358.43,demo,
2024-02-27,hotel-demo-2,Hotel Demo Costa,64,57,0,98,24,24,89.06,119601.22,6817269.38,1683922.74,327349.45,8828541.56,demo,
2024-02-28,hotel-demo-1,Hotel Demo Centro,118,57,2,108,19,24,48.31,80678.30,4598663.03,1154911.90,110487.47,5864062.40,demo,
2024-02-28,hotel-demo-2,Hotel Demo Costa,64,62,0,126,23,19,96.88,116808.43,7242122.89,1799607.58,339737.28,9381467.74,demo,
2024-02-29,hotel-demo-1,Hotel Demo Centro,118,66,2,114,21,23,55.93,76635.86,5057966.87,1174938.74,206279.35,6439184.96,demo,
2024-02-29,hotel-demo-2,Hotel Demo Costa,62,57,2,107,26,20,91.94,117486.86,6696751.26,1718311.66,230002.98,8645065.91,demo,
2024-03-01,hotel-demo-1,Hotel Demo Centro,118,85,2,147,32,32,72.03,84570.23,7188469.90,1338839.71,265434.69,8792744.30,demo,
2024-03-01,hotel-demo-2,Hotel Demo Costa,62,44,2,82,17,17,70.97,114503.09,5038135.76,929288.50,120705.32,6088129.58,demo,
2024-03-02,hotel-demo-1,Hotel Demo Centro,120,82,0,140,30,34,68.33,86579.50,7099518.82,1317113.61,340871.09,8757503.51,demo,
2024-03-02,hotel-demo-2,Hotel Demo Costa,63,45,1,79,19,14,71.43,110420.85,4968938.42,1277670.84,229746.88,6476356.14,demo,
2024-03-03,hotel-demo-1,Hotel Demo Centro,119,68,1,123,30,28,57.14,85751.87,5831127.34,1165064.86,177177.59,7173369.79,demo,
2024-03-03,hotel-demo-2,Hotel Demo Costa,64,38,0,68,12,14,59.38,114768.98,4361221.24,1019487.32,201341.76,5582050.33,demo,
2024-03-04,hotel-demo-1,Hotel Demo Centro,120,66,0,126,24,23,55.00,80970.27,5344037.67,1336547.38,264908.58,6945493.63,demo,
2024-03-04,hotel-demo-2,Hotel Demo Costa,63,41,1,72,15,17,65.08,118816.63,4871481.95,1001083.48,158273.18,6030838.62,demo,
2024-03-05,hotel-demo-1,Hotel Demo Centro,120,72,0,135,26,27,60.00,81210.75,5847174.29,1206979.79,130813.64,7184967.73,demo,
2024-03-05,hotel-demo-2,Hotel Demo Costa,62,42,2,76,18,14,67.74,112370.86,4719575.96,928393.11,222815.83,5870784.90,demo,
2024-03-06,hotel-demo-1,Hotel Demo Centro,120,76,0,137,29,28,63.33,82348.16,6258459.96,1393709.03,192621.55,7844790.54,demo,
2024-03-06,hotel-demo-2,Hotel Demo Costa,64,47,0,91,19,16,73.44,118564.65,5572538.37,1010287.79,203951.26,6786777.42,demo,
2024-03-07,hotel-demo-1,Hotel Demo Centro,119,65,1,114,25,21,54.62,83108.29,5402038.82,1289044.11,165114.86,6856197.78,demo,
2024-03-07,hotel-demo-2,Hotel Demo Costa,64,45,0,89,14,17,70.31,114884.55,5169804.71,1279028.18,139290.06,6588122.95,demo,
2024-03-08,hotel-demo-1,Hotel Demo Centro,120,92,0,182,34,41,76.67,83826.01,7711992.97,1565033.93,270432.45,9547459.36,demo,
2024-03-08,hotel-demo-2,Hotel Demo Costa,64,50,0,105,17,20,78.12,114555.30,5727764.79,1217048.02,211641.28,7156454.10,demo,
2024-03-09,hotel-demo-1,Hotel Demo Centro,119,87,1,182,39,38,73.11,86507.56,7526157.53,1743002.24,225319.00,9494478.76,demo,
2024-03-09,hotel-demo-2,Hotel Demo Costa,64,50,0,104,17,22,78.12,120794.90,6039744.90,1359430.55,126756.45,7525931.90,demo,
2024-03-10,hotel-demo-1,Hotel Demo Centro,120,60,0,119,19,25,50.00,82740.00,4964400.25,1187383.33,217018.47,6368802.05,demo,
2024-03-10,hotel-demo-2,Hotel Demo Costa,64,46,0,87,16,20,71.88,110815.29,5097503.33,1029013.43,253741.36,6380258.12,demo,
2024-03-11,hotel-demo-1,Hotel Demo Centro,120,81,0,138,28,29,67.50,85813.25,6950873.35,1427252.42,161236.13,8539361.90,demo,
2024-03-11,hotel-demo-2,Hotel Demo Costa,64,49,0,84,18,20,76.56,117541.82,5759549.27,1398159.95,264429.81,7422139.02,demo,
2024-03-12,hotel-demo-1,Hotel Demo Centro,120,75,0,130,25,25,62.50,83349.27,6251195.46,1335806.62,215834.65,7802836.73,demo,
2024-03-12,hotel-demo-2,Hotel Demo Costa,64,46,0,90,18,16,71.88,115845.32,5328884.87,1142775.62,238233.43,6709893.92,demo,
2024-03-13,hotel-demo-1,Hotel Demo Centro,120,85,0,148,33,33,70.83,82948.84,7050651.08,1729662.63,224126.48,9004440.19,demo,
2024-03-13,hotel-demo-2,Hotel Demo Costa,64,43,0,82,17,14,67.19,120391.89,5176851.29,1261353.00,167078.98,6605283.27,demo,
2024-03-14,hotel-demo-1,Hotel Demo Centro,118,82,2,166,32,36,69.49,80187.41,6575367.46,1692987.76,269912.45,8538267.67,demo,
2024-03-14,hotel-demo-2,Hotel Demo Costa,64,42,0,76,16,16,65.62,122238.60,5134021.01,1100921.21,104304.99,6339247.21,demo,
2024-03-15,hotel-demo-1,Hotel Demo Centro,119,86,1,171,30,30,72.27,87714.93,7543484.37,1409638.73,339000.66,9292123.76,demo,
2024-03-15,hotel-demo-2,Hotel Demo Costa,64,50,0,101,22,21,78.12,111345.37,5567268.38,1154908.87,129610.91,6851788.16,demo,
2024-03-16,hotel-demo-1,Hotel Demo Centro,118,80,2,136,27,27,67.80,87495.85,6999668.12,1511690.33,230195.18,8741553.63,demo,
2024-03-16,hotel-demo-2,Hotel Demo Costa,63,46,1,89,18,16,73.02,117380.73,5399513.56,1247982.48,204690.83,6852186.87,demo,
2024-03-17,hotel-demo-1,Hotel Demo Centro,120,74,0,143,29,27,61.67,83291.42,6163565.28,1179143.56,195100.87,7537809.70,demo,
2024-03-17,hotel-demo-2,Hotel Demo Costa,63,42,1,80,14,15,66.67,118584.29,4980540.18,1241358.69,241831.42,6463730.29,demo,
2024-03-18,hotel-demo-1,Hotel Demo Centro,120,76,0,143,31,32,63.33,82551.44,6273909.68,1399136.38,157138.03,7830184.09,demo,
2024-03-18,hotel-demo-2,Hotel Demo Costa,63,42,1,85,17,14,66.67,117857.49,4950014.39,1282954.92,114209.17,6347178.48,demo,
2024-03-19,hotel-demo-1,Hotel Demo Centro,120,78,0,152,33,33,65.00,87598.07,6832649.28,1563453.26,224418.45,8620520.99,demo,
2024-03-19,hotel-demo-2,Hotel Demo Costa,62,39,2,81,16,17,62.90,123144.14,4802621.55,1125465.28,109772.34,6037859.17,demo,
2024-03-20,hotel-demo-1,Hotel Demo Centro,118,71,2,123,30,29,60.17,85758.90,6088882.01,1401813.02,190309.04,7681004.06,demo,
2024-03-20,hotel-demo-2,Hotel Demo Costa,64,41,0,76,13,16,64.06,120286.33,4931739.59,1068589.31,196896.32,6197225.23,demo,
2024-03-21,hotel-demo-1,Hotel Demo Centro,120,70,0,119,31,23,58.33,80883.74,5661861.90,1302762.50,255356.00,7219980.41,demo,
2024-03-21,hotel-demo-2,Hotel Demo Costa,64,45,0,88,18,14,70.31,112913.67,5081115.13,1061113.82,114185.95,6256414.89,demo,
2024-03-22,hotel-demo-1,Hotel Demo Centro,119,78,1,163,28,25,65.55,80661.36,6291586.46,1482598.31,280059.09,8054243.86,demo,
2024-03-22,hotel-demo-2,Hotel Demo Costa,64,48,0,92,19,16,75.00,119497.10,5735860.67,1343172.04,126489.20,7205521.90,demo,
2024-03-23,hotel-demo-1,Hotel Demo Centro,119,86,1,155,34,29,72.27,83655.86,7194404.07,1542128.42,314627.84,9051160.33,demo,
2024-03-23,hotel-demo-2,Hotel Demo Costa,62,49,2,84,21,22,79.03,118070.14,5785437.04,1387506.85,167003.94,7339947.83,demo,
2024-03-24,hotel-demo-1,Hotel Demo Centro,118,77,2,145,35,24,65.25,84336.65,6493922.27,1452745.59,163537.15,8110205.02,demo,
2024-03-24,hotel-demo-2,Hotel Demo Costa,63,45,1,86,15,14,71.43,117184.28,5273292.38,1118898.74,206798.06,6598989.18,demo,
2024-03-25,hotel-demo-1,Hotel Demo Centro,119,71,1,123,26,26,59.66,87059.23,6181205.14,1531192.37,134361.96,7846759.46,demo,
2024-03-25,hotel-demo-2,Hotel Demo Costa,64,42,0,74,13,18,65.62,118487.68,4976482.50,1207488.58,207135.96,6391107.03,demo,
2024-03-26,hotel-demo-1,Hotel Demo Centro,119,73,1,129,24,30,61.34,85286.96,6225947.74,1148283.47,285028.83,7659260.04,demo,
2024-03-26,hotel-demo-2,Hotel Demo Costa,64,44,0,90,17,19,68.75,116959.85,5146233.27,988111.65,246683.67,6381028.59,demo,
2024-03-27,hotel-demo-1,Hotel Demo Centro,120,62,0,115,27,27,51.67,82927.09,5141479.84,1137613.76,109913.83,6389007.43,demo,
2024-03-27,hotel-demo-2,Hotel Demo Costa,64,44,0,88,14,19,68.75,118046.39,5194041.11,1180788.76,180756.89,6555586.77,demo,
2024-03-28,hotel-demo-1,Hotel Demo Centro,119,75,1,143,25,28,63.03,88360.76,6627056.85,1578413.87,153207.42,8358678.14,demo,
2024-03-28,hotel-demo-2,Hotel Demo Costa,64,44,0,84,17,16,68.75,118110.14,5196846.09,1246369.74,194482.19,6637698.02,demo,
2024-03-29,hotel-demo-1,Hotel Demo Centro,119,86,1,173,33,28,72.27,83524.68,7183122.21,1335881.12,187345.73,8706349.06,demo,
2024-03-29,hotel-demo-2,Hotel Demo Costa,64,47,0,93,18,16,73.44,113868.94,5351839.97,1309101.55,155880.10,6816821.61,demo,
2024-03-30,hotel-demo-1,Hotel Demo Centro,119,90,1,157,38,29,75.63,86045.61,7744104.61,1734754.33,176888.97,9655747.90,demo,
2024-03-30,hotel-demo-2,Hotel Demo Costa,62,55,2,95,24,20,88.71,115994.41,6379692.50,1563150.77,131766.20,8074609.47,demo,
2024-03-31,hotel-demo-1,Hotel Demo Centro,120,73,0,151,25,27,60.83,84655.29,6179835.85,1323307.54,189216.05,7692359.45,demo,
2024-03-31,hotel-demo-2,Hotel Demo Costa,63,38,1,73,15,16,60.32,114673.73,4357601.90,853900.96,202800.94,5414303.81,demo,
2024-04-01,hotel-demo-1,Hotel Demo Centro,120,76,0,138,32,28,63.33,87145.31,6623043.56,1207674.09,293537.80,8124255.45,demo,
