hotel,mes,pais,continente,huespedes
demo-centro,2023-04,BRASIL,AMÉRICA,221
demo-centro,2023-04,CHILE,AMÉRICA,155
demo-centro,2023-04,MÉXICO,AMÉRICA,91
demo-centro,2023-04,ESPAÑA,EUROPA,93
demo-centro,2023-04,ALEMANIA,EUROPA,67
demo-centro,2023-04,CHINA,ASIA,59
demo-centro,2023-04,JAPÓN,ASIA,41
demo-centro,2023-04,AUSTRALIA,OCEANÍA,28
demo-centro,2023-04,OTROS,SIN REFERENCIA,37
demo-centro,2023-05,ARGENTINA,AMÉRICA,1600
demo-centro,2023-05,ESTADOS UNIDOS,AMÉRICA,1306
demo-centro,2023-05,BRASIL,AMÉRICA,354
demo-centro,2023-05,CHILE,AMÉRICA,112
demo-centro,2023-05,MÉXICO,AMÉRICA,118
demo-centro,2023-05,ESPAÑA,EUROPA,101
demo-centro,2023-05,ALEMANIA,EUROPA,76
demo-centro,2023-05,CHINA,ASIA,59
demo-centro,2023-05,JAPÓN,ASIA,46
demo-centro,2023-05,AUSTRALIA,OCEANÍA,31
demo-centro,2023-05,OTROS,SIN REFERENCIA,41
demo-centro,2023-06,ARGENTINA,AMÉRICA,1422
demo-centro,2023-06,ESTADOS UNIDOS,AMÉRICA,1375
demo-centro,2023-06,BRASIL,AMÉRICA,364
demo-centro,2023-06,CHILE,AMÉRICA,91
demo-centro,2023-06,MÉXICO,AMÉRICA,89
demo-centro,2023-06,ESPAÑA,EUROPA,111
demo-centro,2023-06,ALEMANIA,EUROPA,61
demo-centro,2023-06,CHINA,ASIA,79
demo-centro,2023-06,JAPÓN,ASIA,30
demo-centro,2023-06,AUSTRALIA,OCEANÍA,34
demo-centro,2023-06,OTROS,SIN REFERENCIA,42
demo-centro,2023-07,ARGENTINA,AMÉRICA,1321
demo-centro,2023-07,ESTADOS UNIDOS,AMÉRICA,1016
demo-centro,2023-07,BRASIL,AMÉRICA,282
demo-centro,2023-07,CHILE,AMÉRICA,96
demo-centro,2023-07,MÉXICO,AMÉRICA,132
demo-centro,2023-07,ESPAÑA,EUROPA,89
demo-centro,2023-07,ALEMANIA,EUROPA,73
demo-centro,2023-07,CHINA,ASIA,98
demo-centro,2023-07,JAPÓN,ASIA,47
demo-centro,2023-07,AUSTRALIA,OCEANÍA,21
demo-centro,2023-07,OTROS,SIN REFERENCIA,50
demo-centro,2023-08,ARGENTINA,AMÉRICA,1838
demo-centro,2023-08,ESTADOS UNIDOS,AMÉRICA,1432
demo-centro,2023-08,BRASIL,AMÉRICA,292
demo-centro,2023-08,CHILE,AMÉRICA,115
demo-centro,2023-08,MÉXICO,AMÉRICA,96
demo-centro,2023-08,ESPAÑA,EUROPA,113
demo-centro,2023-08,ALEMANIA,EUROPA,62
demo-centro,2023-08,CHINA,ASIA,63
demo-centro,2023-08,JAPÓN,ASIA,44
demo-centro,2023-08,AUSTRALIA,OCEANÍA,23
demo-centro,2023-08,OTROS,SIN REFERENCIA,39
demo-centro,2023-09,ARGENTINA,AMÉRICA,1305
demo-centro,2023-09,ESTADOS UNIDOS,AMÉRICA,1238
demo-centro,2023-09,BRASIL,AMÉRICA,244
demo-centro,2023-09,CHILE,AMÉRICA,117
demo-centro,2023-09,MÉXICO,AMÉRICA,102
demo-centro,2023-09,ESPAÑA,EUROPA,100
demo-centro,2023-09,ALEMANIA,EUROPA,81
demo-centro,2023-09,CHINA,ASIA,90
demo-centro,2023-09,JAPÓN,ASIA,35
demo-centro,2023-09,AUSTRALIA,OCEANÍA,34
demo-centro,2023-09,OTROS,SIN REFERENCIA,59
demo-centro,2023-10,ARGENTINA,AMÉRICA,1467
demo-centro,2023-10,ESTADOS UNIDOS,AMÉRICA,1626
demo-centro,2023-10,BRASIL,AMÉRICA,274
demo-centro,2023-10,CHILE,AMÉRICA,94
demo-centro,2023-10,MÉXICO,AMÉRICA,94
demo-centro,2023-10,ESPAÑA,EUROPA,100
demo-centro,2023-10,ALEMANIA,EUROPA,86
demo-centro,2023-10,CHINA,ASIA,97
demo-centro,2023-10,JAPÓN,ASIA,46
demo-centro,2023-10,AUSTRALIA,OCEANÍA,35
demo-centro,2023-10,OTROS,SIN REFERENCIA,39
demo-centro,2023-11,ARGENTINA,AMÉRICA,1712
demo-centro,2023-11,ESTADOS UNIDOS,AMÉRICA,1126
demo-centro,2023-11,BRASIL,AMÉRICA,274
demo-centro,2023-11,CHILE,AMÉRICA,97
demo-centro,2023-11,MÉXICO,AMÉRICA,139
demo-centro,2023-11,ESPAÑA,EUROPA,106
demo-centro,2023-11,ALEMANIA,EUROPA,84
demo-centro,2023-11,CHINA,ASIA,97
demo-centro,2023-11,JAPÓN,ASIA,30
demo-centro,2023-11,AUSTRALIA,OCEANÍA,21
demo-centro,2023-11,OTROS,SIN REFERENCIA,60
demo-centro,2023-12,ARGENTINA,AMÉRICA,1742
demo-centro,2023-12,ESTADOS UNIDOS,AMÉRICA,1166
demo-centro,2023-12,BRASIL,AMÉRICA,328
demo-centro,2023-12,CHILE,AMÉRICA,100
demo-centro,2023-12,MÉXICO,AMÉRICA,92
demo-centro,2023-12,ESPAÑA,EUROPA,85
demo-centro,2023-12,ALEMANIA,EUROPA,88
demo-centro,2023-12,CHINA,ASIA,101
demo-centro,2023-12,JAPÓN,ASIA,50
demo-centro,2023-12,AUSTRALIA,OCEANÍA,24
demo-centro,2023-12,OTROS,SIN REFERENCIA,55
demo-centro,2024-01,ARGENTINA,AMÉRICA,1809
demo-centro,2024-01,ESTADOS UNIDOS,AMÉRICA,1898
demo-centro,2024-01,BRASIL,AMÉRICA,390
demo-centro,2024-01,CHILE,AMÉRICA,151
demo-centro,2024-01,MÉXICO,AMÉRICA,98
demo-centro,2024-01,ESPAÑA,EUROPA,95
demo-centro,2024-01,ALEMANIA,EUROPA,72
demo-centro,2024-01,CHINA,ASIA,81
demo-centro,2024-01,JAPÓN,ASIA,34
demo-centro,2024-01,AUSTRALIA,OCEANÍA,22
demo-centro,2024-01,OTROS,SIN REFERENCIA,43
demo-centro,2024-02,ARGENTINA,AMÉRICA,1415
demo-centro,2024-02,ESTADOS UNIDOS,AMÉRICA,1831
demo-centro,2024-02,BRASIL,AMÉRICA,324
demo-centro,2024-02,CHILE,AMÉRICA,124
demo-centro,2024-02,MÉXICO,AMÉRICA,97
demo-centro,2024-02,ESPAÑA,EUROPA,103
demo-centro,2024-02,ALEMANIA,EUROPA,90
demo-centro,2024-02,CHINA,ASIA,105
demo-centro,2024-02,JAPÓN,ASIA,38
demo-centro,2024-02,AUSTRALIA,OCEANÍA,39
demo-centro,2024-02,OTROS,SIN REFERENCIA,40
demo-centro,2024-03,ARGENTINA,AMÉRICA,1483
demo-centro,2024-03,ESTADOS UNIDOS,AMÉRICA,1408
demo-centro,2024-03,BRASIL,AMÉRICA,247
demo-centro,2024-03,CHILE,AMÉRICA,142
demo-centro,2024-03,MÉXICO,AMÉRICA,117
demo-centro,2024-03,ESPAÑA,EUROPA,117
demo-centro,2024-03,ALEMANIA,EUROPA,61
demo-centro,2024-03,CHINA,ASIA,90
demo-centro,2024-03,JAPÓN,ASIA,41
demo-centro,2024-03,AUSTRALIA,OCEANÍA,34
demo-centro,2024-03,OTROS,SIN REFERENCIA,65
demo-centro,2024-04,ARGENTINA,AMÉRICA,1640
demo-centro,2024-04,ESTADOS UNIDOS,AMÉRICA,1734
demo-centro,2024-04,BRASIL,AMÉRICA,335
demo-centro,2024-04,CHILE,AMÉRICA,111
demo-centro,2024-04,MÉXICO,AMÉRICA,99
demo-centro,2024-04,ESPAÑA,EUROPA,79
demo-centro,2024-04,ALEMANIA,EUROPA,94
demo-centro,2024-04,CHINA,ASIA,87
demo-centro,2024-04,JAPÓN,ASIA,43
demo-centro,2024-04,AUSTRALIA,OCEANÍA,26
demo-centro,2024-04,OTROS,SIN REFERENCIA,43
demo-centro,2024-05,ARGENTINA,AMÉRICA,1390
demo-centro,2024-05,ESTADOS UNIDOS,AMÉRICA,1785
demo-centro,2024-05,BRASIL,AMÉRICA,253
demo-centro,2024-05,CHILE,AMÉRICA,111
demo-centro,2024-05,MÉXICO,AMÉRICA,87
demo-centro,2024-05,ESPAÑA,EUROPA,105
demo-centro,2024-05,ALEMANIA,EUROPA,66
demo-centro,2024-05,CHINA,ASIA,74
demo-centro,2024-05,JAPÓN,ASIA,36
demo-centro,2024-05,AUSTRALIA,OCEANÍA,39
demo-centro,2024-05,OTROS,SIN REFERENCIA,51
demo-centro,2024-06,ARGENTINA,AMÉRICA,1679
demo-centro,2024-06,ESTADOS UNIDOS,AMÉRICA,1205
demo-centro,2024-06,BRASIL,AMÉRICA,408
demo-centro,2024-06,CHILE,AMÉRICA,141
demo-centro,2024-06,MÉXICO,AMÉRICA,89
demo-centro,2024-06,ESPAÑA,EUROPA,92
demo-centro,2024-06,ALEMANIA,EUROPA,60
demo-centro,2024-06,CHINA,ASIA,62
demo-centro,2024-06,JAPÓN,ASIA,41
demo-centro,2024-06,AUSTRALIA,OCEANÍA,38
demo-centro,2024-06,OTROS,SIN REFERENCIA,42
demo-centro,2024-07,ARGENTINA,AMÉRICA,1330
demo-centro,2024-07,ESTADOS UNIDOS,AMÉRICA,1685
demo-centro,2024-07,BRASIL,AMÉRICA,262
demo-centro,2024-07,CHILE,AMÉRICA,106
demo-centro,2024-07,MÉXICO,AMÉRICA,135
demo-centro,2024-07,ESPAÑA,EUROPA,98
demo-centro,2024-07,ALEMANIA,EUROPA,95
demo-centro,2024-07,CHINA,ASIA,99
demo-centro,2024-07,JAPÓN,ASIA,41
demo-centro,2024-07,AUSTRALIA,OCEANÍA,39
demo-centro,2024-07,OTROS,SIN REFERENCIA,41
demo-centro,2024-08,ARGENTINA,AMÉRICA,1923
demo-centro,2024-08,ESTADOS UNIDOS,AMÉRICA,1624
demo-centro,2024-08,BRASIL,AMÉRICA,256
demo-centro,2024-08,CHILE,AMÉRICA,95
demo-centro,2024-08,MÉXICO,AMÉRICA,150
demo-centro,2024-08,ESPAÑA,EUROPA,114
demo-centro,2024-08,ALEMANIA,EUROPA,80
demo-centro,2024-08,CHINA,ASIA,90
demo-centro,2024-08,JAPÓN,ASIA,36
demo-centro,2024-08,AUSTRALIA,OCEANÍA,24
demo-centro,2024-08,OTROS,SIN REFERENCIA,50
demo-centro,2024-09,ARGENTINA,AMÉRICA,1716
demo-centro,2024-09,ESTADOS UNIDOS,AMÉRICA,1521
demo-centro,2024-09,BRASIL,AMÉRICA,392
demo-centro,2024-09,CHILE,AMÉRICA,132
demo-centro,2024-09,MÉXICO,AMÉRICA,82
demo-centro,2024-09,ESPAÑA,EUROPA,114
demo-centro,2024-09,ALEMANIA,EUROPA,74
demo-centro,2024-09,CHINA,ASIA,95
demo-centro,2024-09,JAPÓN,ASIA,46
demo-centro,2024-09,AUSTRALIA,OCEANÍA,24
demo-centro,2024-09,OTROS,SIN REFERENCIA,58
demo-centro,2024-10,ARGENTINA,AMÉRICA,1810
demo-centro,2024-10,ESTADOS UNIDOS,AMÉRICA,1478
demo-centro,2024-10,BRASIL,AMÉRICA,304
demo-centro,2024-10,CHILE,AMÉRICA,120
demo-centro,2024-10,MÉXICO,AMÉRICA,91
demo-centro,2024-10,ESPAÑA,EUROPA,77
demo-centro,2024-10,ALEMANIA,EUROPA,86
demo-centro,2024-10,CHINA,ASIA,81
demo-centro,2024-10,JAPÓN,ASIA,34
demo-centro,2024-10,AUSTRALIA,OCEANÍA,36
demo-centro,2024-10,OTROS,SIN REFERENCIA,52
demo-centro,2024-11,ARGENTINA,AMÉRICA,1815
demo-centro,2024-11,ESTADOS UNIDOS,AMÉRICA,1526
demo-centro,2024-11,BRASIL,AMÉRICA,285
demo-centro,2024-11,CHILE,AMÉRICA,91
demo-centro,2024-11,MÉXICO,AMÉRICA,96
demo-centro,2024-11,ESPAÑA,EUROPA,98
demo-centro,2024-11,ALEMANIA,EUROPA,69
demo-centro,2024-11,CHINA,ASIA,87
demo-centro,2024-11,JAPÓN,ASIA,35
demo-centro,2024-11,AUSTRALIA,OCEANÍA,31
demo-centro,2024-11,OTROS,SIN REFERENCIA,37
demo-centro,2024-12,ARGENTINA,AMÉRICA,1159
demo-centro,2024-12,ESTADOS UNIDOS,AMÉRICA,1319
demo-centro,2024-12,BRASIL,AMÉRICA,249
demo-centro,2024-12,CHILE,AMÉRICA,123
demo-centro,2024-12,MÉXICO,AMÉRICA,114
demo-centro,2024-12,ESPAÑA,EUROPA,80
demo-centro,2024-12,ALEMANIA,EUROPA,64
demo-centro,2024-12,CHINA,ASIA,60
demo-centro,2024-12,JAPÓN,ASIA,54
demo-centro,2024-12,AUSTRALIA,OCEANÍA,24
demo-centro,2024-12,OTROS,SIN REFERENCIA,40
demo-centro,2025-01,ARGENTINA,AMÉRICA,1183
demo-centro,2025-01,ESTADOS UNIDOS,AMÉRICA,1389
demo-centro,2025-01,BRASIL,AMÉRICA,323
demo-centro,2025-01,CHILE,AMÉRICA,164
demo-centro,2025-01,MÉXICO,AMÉRICA,126
demo-centro,2025-01,ESPAÑA,EUROPA,117
demo-centro,2025-01,ALEMANIA,EUROPA,99
demo-centro,2025-01,CHINA,ASIA,102
demo-centro,2025-01,JAPÓN,ASIA,40
demo-centro,2025-01,AUSTRALIA,OCEANÍA,37
demo-centro,2025-01,OTROS,SIN REFERENCIA,55
demo-centro,2025-02,ARGENTINA,AMÉRICA,2054
demo-centro,2025-02,ESTADOS UNIDOS,AMÉRICA,1134
demo-centro,2025-02,BRASIL,AMÉRICA,348
demo-centro,2025-02,CHILE,AMÉRICA,129
demo-centro,2025-02,MÉXICO,AMÉRICA,107
demo-centro,2025-02,ESPAÑA,EUROPA,129
demo-centro,2025-02,ALEMANIA,EUROPA,95
demo-centro,2025-02,CHINA,ASIA,64
demo-centro,2025-02,JAPÓN,ASIA,43
demo-centro,2025-02,AUSTRALIA,OCEANÍA,26
demo-centro,2025-02,OTROS,SIN REFERENCIA,61
demo-centro,2025-03,ARGENTINA,AMÉRICA,1427
demo-centro,2025-03,ESTADOS UNIDOS,AMÉRICA,1158
demo-centro,2025-03,BRASIL,AMÉRICA,384
demo-centro,2025-03,CHILE,AMÉRICA,109
demo-centro,2025-03,MÉXICO,AMÉRICA,150
demo-centro,2025-03,ESPAÑA,EUROPA,98
demo-centro,2025-03,ALEMANIA,EUROPA,71
demo-centro,2025-03,CHINA,ASIA,100
demo-centro,2025-03,JAPÓN,ASIA,55
demo-centro,2025-03,AUSTRALIA,OCEANÍA,34
demo-centro,2025-03,OTROS,SIN REFERENCIA,53
demo-centro,2025-04,ARGENTINA,AMÉRICA,2041
demo-centro,2025-04,ESTADOS UNIDOS,AMÉRICA,1502
demo-centro,2025-04,BRASIL,AMÉRICA,237
demo-centro,2025-04,CHILE,AMÉRICA,112
demo-centro,2025-04,MÉXICO,AMÉRICA,92
demo-centro,2025-04,ESPAÑA,EUROPA,97
demo-centro,2025-04,ALEMANIA,EUROPA,83
demo-centro,2025-04,CHINA,ASIA,80
demo-centro,2025-04,JAPÓN,ASIA,35
demo-centro,2025-04,AUSTRALIA,OCEANÍA,37
demo-centro,2025-04,OTROS,SIN REFERENCIA,68
demo-centro,2025-05,ARGENTINA,AMÉRICA,1753
demo-centro,2025-05,ESTADOS UNIDOS,AMÉRICA,1619
demo-centro,2025-05,BRASIL,AMÉRICA,262
demo-centro,2025-05,CHILE,AMÉRICA,144
demo-centro,2025-05,MÉXICO,AMÉRICA,90
demo-centro,2025-05,ESPAÑA,EUROPA,93
demo-centro,2025-05,ALEMANIA,EUROPA,60
demo-centro,2025-05,CHINA,ASIA,77
demo-centro,2025-05,JAPÓN,ASIA,54
demo-centro,2025-05,AUSTRALIA,OCEANÍA,43
demo-centro,2025-05,OTROS,SIN REFERENCIA,51
demo-centro,2025-06,ARGENTINA,AMÉRICA,1914
demo-centro,2025-06,ESTADOS UNIDOS,AMÉRICA,1358
demo-centro,2025-06,BRASIL,AMÉRICA,417
demo-centro,2025-06,CHILE,AMÉRICA,158
demo-centro,2025-06,MÉXICO,AMÉRICA,96
demo-centro,2025-06,ESPAÑA,EUROPA,114
demo-centro,2025-06,ALEMANIA,EUROPA,57
demo-centro,2025-06,CHINA,ASIA,85
demo-centro,2025-06,JAPÓN,ASIA,34
demo-centro,2025-06,AUSTRALIA,OCEANÍA,34
demo-centro,2025-06,OTROS,SIN REFERENCIA,60
demo-centro,2025-07,ARGENTINA,AMÉRICA,1689
demo-centro,2025-07,ESTADOS UNIDOS,AMÉRICA,1529
demo-centro,2025-07,BRASIL,AMÉRICA,419
demo-centro,2025-07,CHILE,AMÉRICA,101
demo-centro,2025-07,MÉXICO,AMÉRICA,143
demo-centro,2025-07,ESPAÑA,EUROPA,101
demo-centro,2025-07,ALEMANIA,EUROPA,71
demo-centro,2025-07,CHINA,ASIA,67
demo-centro,2025-07,JAPÓN,ASIA,35
demo-centro,2025-07,AUSTRALIA,OCEANÍA,26
demo-centro,2025-07,OTROS,SIN REFERENCIA,57
demo-centro,2025-08,ARGENTINA,AMÉRICA,1686
demo-centro,2025-08,ESTADOS UNIDOS,AMÉRICA,1211
demo-centro,2025-08,BRASIL,AMÉRICA,367
demo-centro,2025-08,CHILE,AMÉRICA,109
demo-centro,2025-08,MÉXICO,AMÉRICA,103
demo-centro,2025-08,ESPAÑA,EUROPA,128
demo-centro,2025-08,ALEMANIA,EUROPA,89
demo-centro,2025-08,CHINA,ASIA,89
demo-centro,2025-08,JAPÓN,ASIA,43
demo-centro,2025-08,AUSTRALIA,OCEANÍA,33
demo-centro,2025-08,OTROS,SIN REFERENCIA,53
demo-centro,2025-09,ARGENTINA,AMÉRICA,1587
demo-centro,2025-09,ESTADOS UNIDOS,AMÉRICA,1989
demo-centro,2025-09,BRASIL,AMÉRICA,389
demo-centro,2025-09,CHILE,AMÉRICA,145
demo-centro,2025-09,MÉXICO,AMÉRICA,95
demo-centro,2025-09,ESPAÑA,EUROPA,70
demo-centro,2025-09,ALEMANIA,EUROPA,71
demo-centro,2025-09,CHINA,ASIA,98
demo-centro,2025-09,JAPÓN,ASIA,56
demo-centro,2025-09,AUSTRALIA,OCEANÍA,40
demo-centro,2025-09,OTROS,SIN REFERENCIA,70
demo-centro,2025-10,ARGENTINA,AMÉRICA,1304
demo-centro,2025-10,ESTADOS UNIDOS,AMÉRICA,1794
demo-centro,2025-10,BRASIL,AMÉRICA,370
demo-centro,2025-10,CHILE,AMÉRICA,167
demo-centro,2025-10,MÉXICO,AMÉRICA,92
demo-centro,2025-10,ESPAÑA,EUROPA,82
demo-centro,2025-10,ALEMANIA,EUROPA,83
demo-centro,2025-10,CHINA,ASIA,78
demo-centro,2025-10,JAPÓN,ASIA,51
demo-centro,2025-10,AUSTRALIA,OCEANÍA,24
demo-centro,2025-10,OTROS,SIN REFERENCIA,53
demo-centro,2025-11,ARGENTINA,AMÉRICA,2015
demo-centro,2025-11,ESTADOS UNIDOS,AMÉRICA,1298
demo-centro,2025-11,BRASIL,AMÉRICA,398
demo-centro,2025-11,CHILE,AMÉRICA,110
demo-centro,2025-11,MÉXICO,AMÉRICA,142
demo-centro,2025-11,ESPAÑA,EUROPA,113
demo-centro,2025-11,ALEMANIA,EUROPA,71
demo-centro,2025-11,CHINA,ASIA,109
demo-centro,2025-11,JAPÓN,ASIA,53
demo-centro,2025-11,AUSTRALIA,OCEANÍA,35
demo-centro,2025-11,OTROS,SIN REFERENCIA,43
demo-centro,2025-12,ARGENTINA,AMÉRICA,1940
demo-centro,2025-12,ESTADOS UNIDOS,AMÉRICA,1644
demo-centro,2025-12,BRASIL,AMÉRICA,249
demo-centro,2025-12,CHILE,AMÉRICA,100
demo-centro,2025-12,MÉXICO,AMÉRICA,142
demo-centro,2025-12,ESPAÑA,EUROPA,119
demo-centro,2025-12,ALEMANIA,EUROPA,97
demo-centro,2025-12,CHINA,ASIA,102
demo-centro,2025-12,JAPÓN,ASIA,32
demo-centro,2025-12,AUSTRALIA,OCEANÍA,32
demo-centro,2025-12,OTROS,SIN REFERENCIA,40
demo-centro,2026-01,ARGENTINA,AMÉRICA,2044
demo-centro,2026-01,ESTADOS UNIDOS,AMÉRICA,1551
demo-centro,2026-01,BRASIL,AMÉRICA,350
demo-centro,2026-01,CHILE,AMÉRICA,147
demo-centro,2026-01,MÉXICO,AMÉRICA,104
demo-centro,2026-01,ESPAÑA,EUROPA,90
demo-centro,2026-01,ALEMANIA,EUROPA,86
demo-centro,2026-01,CHINA,ASIA,86
demo-centro,2026-01,JAPÓN,ASIA,44
demo-centro,2026-01,AUSTRALIA,OCEANÍA,34
demo-centro,2026-01,OTROS,SIN REFERENCIA,58
demo-centro,2026-02,ARGENTINA,AMÉRICA,1587
demo-centro,2026-02,ESTADOS UNIDOS,AMÉRICA,1954
demo-centro,2026-02,BRASIL,AMÉRICA,364
demo-centro,2026-02,CHILE,AMÉRICA,133
demo-centro,2026-02,MÉXICO,AMÉRICA,111
demo-centro,2026-02,ESPAÑA,EUROPA,85
demo-centro,2026-02,ALEMANIA,EUROPA,73
demo-centro,2026-02,CHINA,ASIA,66
demo-centro,2026-02,JAPÓN,ASIA,54
demo-centro,2026-02,AUSTRALIA,OCEANÍA,44
demo-centro,2026-02,OTROS,SIN REFERENCIA,56
demo-centro,2026-03,ARGENTINA,AMÉRICA,1727
demo-centro,2026-03,ESTADOS UNIDOS,AMÉRICA,1827
demo-centro,2026-03,BRASIL,AMÉRICA,324
demo-centro,2026-03,CHILE,AMÉRICA,153
demo-centro,2026-03,MÉXICO,AMÉRICA,103
demo-centro,2026-03,ESPAÑA,EUROPA,121
demo-centro,2026-03,ALEMANIA,EUROPA,63
demo-centro,2026-03,CHINA,ASIA,111
demo-centro,2026-03,JAPÓN,ASIA,34
demo-centro,2026-03,AUSTRALIA,OCEANÍA,34
demo-centro,2026-03,OTROS,SIN REFERENCIA,60
demo-centro,2026-04,ARGENTINA,AMÉRICA,1901
demo-centro,2026-04,ESTADOS UNIDOS,AMÉRICA,1854
demo-centro,2026-04,BRASIL,AMÉRICA,305
demo-centro,2026-04,CHILE,AMÉRICA,166
demo-centro,2026-04,MÉXICO,AMÉRICA,146
demo-centro,2026-04,ESPAÑA,EUROPA,86
demo-centro,2026-04,ALEMANIA,EUROPA,73
demo-centro,2026-04,CHINA,ASIA,69
demo-centro,2026-04,JAPÓN,ASIA,38
demo-centro,2026-04,AUSTRALIA,OCEANÍA,44
demo-centro,2026-04,OTROS,SIN REFERENCIA,68
demo-centro,2026-05,ARGENTINA,AMÉRICA,1235
demo-centro,2026-05,ESTADOS UNIDOS,AMÉRICA,1655
demo-centro,2026-05,BRASIL,AMÉRICA,324
demo-centro,2026-05,CHILE,AMÉRICA,149
demo-centro,2026-05,MÉXICO,AMÉRICA,103
demo-centro,2026-05,ESPAÑA,EUROPA,74
demo-centro,2026-05,ALEMANIA,EUROPA,57
demo-centro,2026-05,CHINA,ASIA,91
demo-centro,2026-05,JAPÓN,ASIA,49
demo-centro,2026-05,AUSTRALIA,OCEANÍA,25
demo-centro,2026-05,OTROS,SIN REFERENCIA,63
demo-centro,2026-06,ARGENTINA,AMÉRICA,1672
demo-centro,2026-06,ESTADOS UNIDOS,AMÉRICA,1854
demo-centro,2026-06,BRASIL,AMÉRICA,286
demo-centro,2026-06,CHILE,AMÉRICA,105
demo-centro,2026-06,MÉXICO,AMÉRICA,109
demo-centro,2026-06,ESPAÑA,EUROPA,121
demo-centro,2026-06,ALEMANIA,EUROPA,78
demo-centro,2026-06,CHINA,ASIA,97
demo-centro,2026-06,JAPÓN,ASIA,35
demo-centro,2026-06,AUSTRALIA,OCEANÍA,30
demo-centro,2026-06,OTROS,SIN REFERENCIA,65
demo-centro,2026-07,ARGENTINA,AMÉRICA,1566
demo-centro,2026-07,ESTADOS UNIDOS,AMÉRICA,1601
demo-centro,2026-07,BRASIL,AMÉRICA,438
demo-centro,2026-07,CHILE,AMÉRICA,151
demo-centro,2026-07,MÉXICO,AMÉRICA,147
demo-centro,2026-07,ESPAÑA,EUROPA,73
demo-centro,2026-07,ALEMANIA,EUROPA,89
demo-centro,2026-07,CHINA,ASIA,94
demo-centro,2026-07,JAPÓN,ASIA,44
demo-centro,2026-07,AUSTRALIA,OCEANÍA,33
demo-centro,2026-07,OTROS,SIN REFERENCIA,67
demo-centro,2026-08,ARGENTINA,AMÉRICA,1996
demo-centro,2026-08,ESTADOS UNIDOS,AMÉRICA,1537
demo-centro,2026-08,BRASIL,AMÉRICA,302
demo-centro,2026-08,CHILE,AMÉRICA,153
demo-centro,2026-08,MÉXICO,AMÉRICA,148
demo-centro,2026-08,ESPAÑA,EUROPA,102
demo-centro,2026-08,ALEMANIA,EUROPA,73
demo-centro,2026-08,CHINA,ASIA,109
demo-centro,2026-08,JAPÓN,ASIA,34
demo-centro,2026-08,AUSTRALIA,OCEANÍA,29
demo-centro,2026-08,OTROS,SIN REFERENCIA,68
