hotel,fecha,fecha_reporte,concepto,dia,mes,anio
demo-costa,2025-08-24,2025-08-25,Total Revenue,9415.34,263369.41,4127969.15
demo-costa,2025-08-24,2025-08-25,Food And Beverage Revenue,2072.33,50174.47,800305.83
demo-costa,2025-08-24,2025-08-25,Other Revenue,213.87,0,0
demo-centro,2025-08-25,2025-08-26,Total Rooms in Hotel,220,5500,52140
demo-centro,2025-08-25,2025-08-26,Rooms Occupied minus House Use,141,3722,33736
demo-centro,2025-08-25,2025-08-26,Room Revenue,23444.09,617979.85,5588353.36
demo-centro,2025-08-25,2025-08-26,Total Revenue,30067.07,789127.88,7157916.64
demo-centro,2025-08-25,2025-08-26,Food And Beverage Revenue,5919.65,152608.63,1401912.67
demo-centro,2025-08-25,2025-08-26,Other Revenue,703.32,0,0
demo-costa,2025-08-25,2025-08-26,Total Rooms in Hotel,140,3500,33180
demo-costa,2025-08-25,2025-08-26,Rooms Occupied minus House Use,60,1463,20650
demo-costa,2025-08-25,2025-08-26,Room Revenue,8729.4,215714.78,3239470.48
demo-costa,2025-08-25,2025-08-26,Total Revenue,11322.01,274691.42,4139291.16
demo-costa,2025-08-25,2025-08-26,Food And Beverage Revenue,2330.73,52505.2,802636.57
demo-costa,2025-08-25,2025-08-26,Other Revenue,261.88,0,0
demo-centro,2025-08-26,2025-08-27,Total Rooms in Hotel,220,5720,52360
demo-centro,2025-08-26,2025-08-27,Rooms Occupied minus House Use,147,3869,33883
demo-centro,2025-08-26,2025-08-27,Room Revenue,24227.76,642207.62,5612581.12
demo-centro,2025-08-26,2025-08-27,Total Revenue,32219.39,821347.27,7190136.03
demo-centro,2025-08-26,2025-08-27,Food And Beverage Revenue,7264.8,159873.43,1409177.47
demo-centro,2025-08-26,2025-08-27,Other Revenue,726.83,0,0
demo-costa,2025-08-26,2025-08-27,Total Rooms in Hotel,140,3640,33320
demo-costa,2025-08-26,2025-08-27,Rooms Occupied minus House Use,59,1522,20709
demo-costa,2025-08-26,2025-08-27,Room Revenue,8634.37,224349.15,3248104.85
demo-costa,2025-08-26,2025-08-27,Total Revenue,10666.8,285358.22,4149957.96
demo-costa,2025-08-26,2025-08-27,Food And Beverage Revenue,1773.4,54278.6,804409.97
demo-costa,2025-08-26,2025-08-27,Other Revenue,259.03,0,0
demo-centro,2025-08-27,2025-08-28,Total Rooms in Hotel,220,5940,52580
demo-centro,2025-08-27,2025-08-28,Rooms Occupied minus House Use,127,3996,34010
demo-centro,2025-08-27,2025-08-28,Room Revenue,21866.43,664074.05,5634447.55
demo-centro,2025-08-27,2025-08-28,Total Revenue,27860.34,849207.61,7217996.36
demo-centro,2025-08-27,2025-08-28,Food And Beverage Revenue,5337.91,165211.34,1414515.38
demo-centro,2025-08-27,2025-08-28,Other Revenue,655.99,0,0
demo-costa,2025-08-27,2025-08-28,Total Rooms in Hotel,140,3780,33460
demo-costa,2025-08-27,2025-08-28,Rooms Occupied minus House Use,59,1581,20768
demo-costa,2025-08-27,2025-08-28,Room Revenue,8293.69,232642.83,3256398.53
demo-costa,2025-08-27,2025-08-28,Total Revenue,10817.03,296175.25,4160774.99
demo-costa,2025-08-27,2025-08-28,Food And Beverage Revenue,2274.53,56553.14,806684.5
demo-costa,2025-08-27,2025-08-28,Other Revenue,248.81,0,0
demo-centro,2025-08-28,2025-08-29,Total Rooms in Hotel,220,6160,52800
demo-centro,2025-08-28,2025-08-29,Rooms Occupied minus House Use,139,4135,34149
demo-centro,2025-08-28,2025-08-29,Room Revenue,22794.82,686868.87,5657242.37
demo-centro,2025-08-28,2025-08-29,Total Revenue,30059.62,879267.23,7248055.99
demo-centro,2025-08-28,2025-08-29,Food And Beverage Revenue,6580.96,171792.3,1421096.34
demo-centro,2025-08-28,2025-08-29,Other Revenue,683.84,0,0
demo-costa,2025-08-28,2025-08-29,Total Rooms in Hotel,140,3920,33600
demo-costa,2025-08-28,2025-08-29,Rooms Occupied minus House Use,56,1637,20824
demo-costa,2025-08-28,2025-08-29,Room Revenue,8159.67,240802.5,3264558.2
demo-costa,2025-08-28,2025-08-29,Total Revenue,10390.75,306566.0,4171165.74
demo-costa,2025-08-28,2025-08-29,Food And Beverage Revenue,1986.29,58539.43,808670.8
demo-costa,2025-08-28,2025-08-29,Other Revenue,244.79,0,0
demo-centro,2025-08-29,2025-08-30,Total Rooms in Hotel,220,6380,53020
demo-centro,2025-08-29,2025-08-30,Rooms Occupied minus House Use,166,4301,34315
demo-centro,2025-08-29,2025-08-30,Room Revenue,27140.83,714009.7,5684383.2
demo-centro,2025-08-29,2025-08-30,Total Revenue,34319.28,913586.51,7282375.26
demo-centro,2025-08-29,2025-08-30,Food And Beverage Revenue,6364.22,178156.52,1427460.56
demo-centro,2025-08-29,2025-08-30,Other Revenue,814.23,0,0
demo-costa,2025-08-29,2025-08-30,Total Rooms in Hotel,140,4060,33740
demo-costa,2025-08-29,2025-08-30,Rooms Occupied minus House Use,77,1714,20901
demo-costa,2025-08-29,2025-08-30,Room Revenue,11079.41,251881.9,3275637.61
demo-costa,2025-08-29,2025-08-30,Total Revenue,14590.91,321156.91,4185756.65
demo-costa,2025-08-29,2025-08-30,Food And Beverage Revenue,3179.12,61718.55,811849.92
demo-costa,2025-08-29,2025-08-30,Other Revenue,332.38,0,0
demo-centro,2025-08-30,2025-08-31,Total Rooms in Hotel,220,6600,53240
demo-centro,2025-08-30,2025-08-31,Rooms Occupied minus House Use,148,4449,34463
demo-centro,2025-08-30,2025-08-31,Room Revenue,24300.16,738309.86,5708683.37
demo-centro,2025-08-30,2025-08-31,Total Revenue,30318.99,943905.5,7312694.25
demo-centro,2025-08-30,2025-08-31,Food And Beverage Revenue,5289.82,183446.34,1432750.39
demo-centro,2025-08-30,2025-08-31,Other Revenue,729.0,0,0
demo-costa,2025-08-30,2025-08-31,Total Rooms in Hotel,140,4200,33880
demo-costa,2025-08-30,2025-08-31,Rooms Occupied minus House Use,78,1792,20979
demo-costa,2025-08-30,2025-08-31,Room Revenue,12051.21,263933.11,3287688.81
demo-costa,2025-08-30,2025-08-31,Total Revenue,15234.06,336390.97,4200990.71
demo-costa,2025-08-30,2025-08-31,Food And Beverage Revenue,2821.32,64539.87,814671.23
demo-costa,2025-08-30,2025-08-31,Other Revenue,361.54,0,0
demo-centro,2025-08-31,2025-09-01,Total Rooms in Hotel,220,6820,53460
demo-centro,2025-08-31,2025-09-01,Rooms Occupied minus House Use,130,4579,34593
demo-centro,2025-08-31,2025-09-01,Room Revenue,20746.66,759056.52,5729430.03
demo-centro,2025-08-31,2025-09-01,Total Revenue,26860.97,970766.47,7339555.22
demo-centro,2025-08-31,2025-09-01,Food And Beverage Revenue,5491.91,188938.25,1438242.29
demo-centro,2025-08-31,2025-09-01,Other Revenue,622.4,0,0
demo-costa,2025-08-31,2025-09-01,Total Rooms in Hotel,140,4340,34020
demo-costa,2025-08-31,2025-09-01,Rooms Occupied minus House Use,58,1850,21037
demo-costa,2025-08-31,2025-09-01,Room Revenue,8751.33,272684.44,3296440.15
demo-costa,2025-08-31,2025-09-01,Total Revenue,11205.78,347596.75,4212196.49
demo-costa,2025-08-31,2025-09-01,Food And Beverage Revenue,2191.91,66731.78,816863.14
demo-costa,2025-08-31,2025-09-01,Other Revenue,262.54,0,0
demo-centro,2025-09-01,2025-09-02,Total Rooms in Hotel,220,220,53680
demo-centro,2025-09-01,2025-09-02,Rooms Occupied minus House Use,170,170,34763
demo-centro,2025-09-01,2025-09-02,Room Revenue,28440.87,28440.87,5757870.89
demo-centro,2025-09-01,2025-09-02,Total Revenue,35112.17,35112.17,7374667.39
demo-centro,2025-09-01,2025-09-02,Food And Beverage Revenue,5818.07,5818.07,1444060.37
demo-centro,2025-09-01,2025-09-02,Other Revenue,853.23,0,0
demo-costa,2025-09-01,2025-09-02,Total Rooms in Hotel,140,140,34160
demo-costa,2025-09-01,2025-09-02,Rooms Occupied minus House Use,68,68,21105
demo-costa,2025-09-01,2025-09-02,Room Revenue,10602.23,10602.23,3307042.37
demo-costa,2025-09-01,2025-09-02,Total Revenue,13465.09,13465.09,4225661.59
demo-costa,2025-09-01,2025-09-02,Food And Beverage Revenue,2544.8,2544.8,819407.94
demo-costa,2025-09-01,2025-09-02,Other Revenue,318.07,0,0
demo-centro,2025-09-02,2025-09-03,Total Rooms in Hotel,220,440,53900
demo-centro,2025-09-02,2025-09-03,Rooms Occupied minus House Use,152,322,34915
demo-centro,2025-09-02,2025-09-03,Room Revenue,25350.19,53791.06,5783221.09
demo-centro,2025-09-02,2025-09-03,Total Revenue,31504.38,66616.55,7406171.77
demo-centro,2025-09-02,2025-09-03,Food And Beverage Revenue,5393.68,11211.75,1449454.05
demo-centro,2025-09-02,2025-09-03,Other Revenue,760.51,0,0
demo-costa,2025-09-02,2025-09-03,Total Rooms in Hotel,140,280,34300
demo-costa,2025-09-02,2025-09-03,Rooms Occupied minus House Use,84,152,21189
demo-costa,2025-09-02,2025-09-03,Room Revenue,12113.42,22715.64,3319155.79
demo-costa,2025-09-02,2025-09-03,Total Revenue,14900.24,28365.33,4240561.82
demo-costa,2025-09-02,2025-09-03,Food And Beverage Revenue,2423.42,4968.21,821831.36
demo-costa,2025-09-02,2025-09-03,Other Revenue,363.4,0,0
demo-centro,2025-09-03,2025-09-04,Total Rooms in Hotel,220,660,54120
demo-centro,2025-09-03,2025-09-04,Rooms Occupied minus House Use,150,472,35065
demo-centro,2025-09-03,2025-09-04,Room Revenue,25627.67,79418.73,5808848.76
demo-centro,2025-09-03,2025-09-04,Total Revenue,34045.77,100662.31,7440217.54
demo-centro,2025-09-03,2025-09-04,Food And Beverage Revenue,7649.27,18861.02,1457103.32
demo-centro,2025-09-03,2025-09-04,Other Revenue,768.83,0,0
demo-costa,2025-09-03,2025-09-04,Total Rooms in Hotel,140,420,34440
demo-costa,2025-09-03,2025-09-04,Rooms Occupied minus House Use,72,224,21261
demo-costa,2025-09-03,2025-09-04,Room Revenue,10603.84,33319.49,3329759.63
demo-costa,2025-09-03,2025-09-04,Total Revenue,13758.75,42124.08,4254320.58
demo-costa,2025-09-03,2025-09-04,Food And Beverage Revenue,2836.8,7805.01,824668.16
demo-costa,2025-09-03,2025-09-04,Other Revenue,318.12,0,0
demo-centro,2025-09-04,2025-09-05,Total Rooms in Hotel,220,880,54340
demo-centro,2025-09-04,2025-09-05,Rooms Occupied minus House Use,155,627,35220
demo-centro,2025-09-04,2025-09-05,Room Revenue,26006.49,105425.22,5834855.25
demo-centro,2025-09-04,2025-09-05,Total Revenue,33331.97,133994.28,7473549.5
demo-centro,2025-09-04,2025-09-05,Food And Beverage Revenue,6545.28,25406.3,1463648.6
demo-centro,2025-09-04,2025-09-05,Other Revenue,780.19,0,0
demo-costa,2025-09-04,2025-09-05,Total Rooms in Hotel,140,560,34580
demo-costa,2025-09-04,2025-09-05,Rooms Occupied minus House Use,72,296,21333
demo-costa,2025-09-04,2025-09-05,Room Revenue,10706.02,44025.5,3340465.65
demo-costa,2025-09-04,2025-09-05,Total Revenue,13808.24,55932.33,4268128.82
demo-costa,2025-09-04,2025-09-05,Food And Beverage Revenue,2781.05,10586.06,827449.2
demo-costa,2025-09-04,2025-09-05,Other Revenue,321.18,0,0
demo-centro,2025-09-05,2025-09-06,Total Rooms in Hotel,220,1100,54560
demo-centro,2025-09-05,2025-09-06,Rooms Occupied minus House Use,160,787,35380
demo-centro,2025-09-05,2025-09-06,Room Revenue,25949.49,131374.72,5860804.74
demo-centro,2025-09-05,2025-09-06,Total Revenue,33690.98,167685.26,7507240.49
demo-centro,2025-09-05,2025-09-06,Food And Beverage Revenue,6963.0,32369.3,1470611.6
demo-centro,2025-09-05,2025-09-06,Other Revenue,778.48,0,0
demo-costa,2025-09-05,2025-09-06,Total Rooms in Hotel,140,700,34720
demo-costa,2025-09-05,2025-09-06,Rooms Occupied minus House Use,89,385,21422
demo-costa,2025-09-05,2025-09-06,Room Revenue,13938.21,57963.71,3354403.85
demo-costa,2025-09-05,2025-09-06,Total Revenue,18371.7,74304.02,4286500.52
demo-costa,2025-09-05,2025-09-06,Food And Beverage Revenue,4015.35,14601.4,831464.55
demo-costa,2025-09-05,2025-09-06,Other Revenue,418.15,0,0
demo-centro,2025-09-06,2025-09-07,Total Rooms in Hotel,220,1320,54780
demo-centro,2025-09-06,2025-09-07,Rooms Occupied minus House Use,193,980,35573
demo-centro,2025-09-06,2025-09-07,Room Revenue,33711.7,165086.42,5894516.45
demo-centro,2025-09-06,2025-09-07,Total Revenue,43893.5,211578.76,7551133.98
demo-centro,2025-09-06,2025-09-07,Food And Beverage Revenue,9170.44,41539.75,1479782.04
demo-centro,2025-09-06,2025-09-07,Other Revenue,1011.35,0,0
demo-costa,2025-09-06,2025-09-07,Total Rooms in Hotel,140,840,34860
demo-costa,2025-09-06,2025-09-07,Rooms Occupied minus House Use,81,466,21503
demo-costa,2025-09-06,2025-09-07,Room Revenue,12656.3,70620.01,3367060.15
demo-costa,2025-09-06,2025-09-07,Total Revenue,15714.43,90018.46,4302214.95
demo-costa,2025-09-06,2025-09-07,Food And Beverage Revenue,2678.45,17279.85,834142.99
demo-costa,2025-09-06,2025-09-07,Other Revenue,379.69,0,0
demo-centro,2025-09-07,2025-09-08,Total Rooms in Hotel,220,1540,55000
demo-centro,2025-09-07,2025-09-08,Rooms Occupied minus House Use,149,1129,35722
demo-centro,2025-09-07,2025-09-08,Room Revenue,25318.26,190404.69,5919834.71
demo-centro,2025-09-07,2025-09-08,Total Revenue,32255.28,243834.04,7583389.26
demo-centro,2025-09-07,2025-09-08,Food And Beverage Revenue,6177.46,47717.21,1485959.51
demo-centro,2025-09-07,2025-09-08,Other Revenue,759.55,0,0
demo-costa,2025-09-07,2025-09-08,Total Rooms in Hotel,140,980,35000
demo-costa,2025-09-07,2025-09-08,Rooms Occupied minus House Use,72,538,21575
demo-costa,2025-09-07,2025-09-08,Room Revenue,10483.36,81103.37,3377543.52
demo-costa,2025-09-07,2025-09-08,Total Revenue,13041.29,103059.75,4315256.25
demo-costa,2025-09-07,2025-09-08,Food And Beverage Revenue,2243.43,19523.28,836386.42
demo-costa,2025-09-07,2025-09-08,Other Revenue,314.5,0,0
demo-centro,2025-09-08,2025-09-09,Total Rooms in Hotel,220,1760,55220
demo-centro,2025-09-08,2025-09-09,Rooms Occupied minus House Use,145,1274,35867
demo-centro,2025-09-08,2025-09-09,Room Revenue,24435.92,214840.6,5944270.63
demo-centro,2025-09-08,2025-09-09,Total Revenue,30205.98,274040.02,7613595.24
demo-centro,2025-09-08,2025-09-09,Food And Beverage Revenue,5036.99,52754.2,1490996.5
demo-centro,2025-09-08,2025-09-09,Other Revenue,733.08,0,0
demo-costa,2025-09-08,2025-09-09,Total Rooms in Hotel,140,1120,35140
demo-costa,2025-09-08,2025-09-09,Rooms Occupied minus House Use,63,601,21638
demo-costa,2025-09-08,2025-09-09,Room Revenue,9099.32,90202.69,3386642.84
demo-costa,2025-09-08,2025-09-09,Total Revenue,12082.93,115142.68,4327339.17
demo-costa,2025-09-08,2025-09-09,Food And Beverage Revenue,2710.63,22233.91,839097.05
demo-costa,2025-09-08,2025-09-09,Other Revenue,272.98,0,0
demo-centro,2025-09-09,2025-09-10,Total Rooms in Hotel,220,1980,55440
demo-centro,2025-09-09,2025-09-10,Rooms Occupied minus House Use,153,1427,36020
demo-centro,2025-09-09,2025-09-10,Room Revenue,26525.68,241366.28,5970796.31
demo-centro,2025-09-09,2025-09-10,Total Revenue,33388.16,307428.18,7646983.4
demo-centro,2025-09-09,2025-09-10,Food And Beverage Revenue,6066.71,58820.91,1497063.21
demo-centro,2025-09-09,2025-09-10,Other Revenue,795.77,0,0
demo-costa,2025-09-09,2025-09-10,Total Rooms in Hotel,140,1260,35280
demo-costa,2025-09-09,2025-09-10,Rooms Occupied minus House Use,70,671,21708
demo-costa,2025-09-09,2025-09-10,Room Revenue,10941.72,101144.42,3397584.56
demo-costa,2025-09-09,2025-09-10,Total Revenue,14251.5,129394.18,4341590.68
demo-costa,2025-09-09,2025-09-10,Food And Beverage Revenue,2981.53,25215.43,842078.58
demo-costa,2025-09-09,2025-09-10,Other Revenue,328.25,0,0
demo-centro,2025-09-10,2025-09-11,Total Rooms in Hotel,220,2200,55660
demo-centro,2025-09-10,2025-09-11,Rooms Occupied minus House Use,166,1593,36186
demo-centro,2025-09-10,2025-09-11,Room Revenue,28482.23,269848.51,5999278.54
demo-centro,2025-09-10,2025-09-11,Total Revenue,35868.1,343296.28,7682851.5
demo-centro,2025-09-10,2025-09-11,Food And Beverage Revenue,6531.4,65352.31,1503594.61
demo-centro,2025-09-10,2025-09-11,Other Revenue,854.47,0,0
demo-costa,2025-09-10,2025-09-11,Total Rooms in Hotel,140,1400,35420
demo-costa,2025-09-10,2025-09-11,Rooms Occupied minus House Use,73,744,21781
demo-costa,2025-09-10,2025-09-11,Room Revenue,11388.27,112532.68,3408972.83
demo-costa,2025-09-10,2025-09-11,Total Revenue,14287.22,143681.4,4355877.89
demo-costa,2025-09-10,2025-09-11,Food And Beverage Revenue,2557.3,27772.74,844635.88
demo-costa,2025-09-10,2025-09-11,Other Revenue,341.65,0,0
demo-centro,2025-09-11,2025-09-12,Total Rooms in Hotel,220,2420,55880
demo-centro,2025-09-11,2025-09-12,Rooms Occupied minus House Use,167,1760,36353
demo-centro,2025-09-11,2025-09-12,Room Revenue,27692.42,297540.94,6026970.96
demo-centro,2025-09-11,2025-09-12,Total Revenue,36813.89,380110.17,7719665.39
demo-centro,2025-09-11,2025-09-12,Food And Beverage Revenue,8290.69,73643.0,1511885.3
demo-centro,2025-09-11,2025-09-12,Other Revenue,830.77,0,0
demo-costa,2025-09-11,2025-09-12,Total Rooms in Hotel,140,1540,35560
demo-costa,2025-09-11,2025-09-12,Rooms Occupied minus House Use,71,815,21852
demo-costa,2025-09-11,2025-09-12,Room Revenue,10452.67,122985.35,3419425.5
demo-costa,2025-09-11,2025-09-12,Total Revenue,13294.03,156975.43,4369171.92
demo-costa,2025-09-11,2025-09-12,Food And Beverage Revenue,2527.78,30300.52,847163.66
demo-costa,2025-09-11,2025-09-12,Other Revenue,313.58,0,0
demo-centro,2025-09-12,2025-09-13,Total Rooms in Hotel,220,2640,56100
demo-centro,2025-09-12,2025-09-13,Rooms Occupied minus House Use,171,1931,36524
demo-centro,2025-09-12,2025-09-13,Room Revenue,29223.17,326764.1,6056194.13
demo-centro,2025-09-12,2025-09-13,Total Revenue,37782.58,417892.75,7757447.97
demo-centro,2025-09-12,2025-09-13,Food And Beverage Revenue,7682.72,81325.72,1519568.02
demo-centro,2025-09-12,2025-09-13,Other Revenue,876.7,0,0
demo-costa,2025-09-12,2025-09-13,Total Rooms in Hotel,140,1680,35700
demo-costa,2025-09-12,2025-09-13,Rooms Occupied minus House Use,91,906,21943
demo-costa,2025-09-12,2025-09-13,Room Revenue,13875.82,136861.17,3433301.31
demo-costa,2025-09-12,2025-09-13,Total Revenue,17334.69,174310.12,4386506.61
demo-costa,2025-09-12,2025-09-13,Food And Beverage Revenue,3042.6,33343.12,850206.26
demo-costa,2025-09-12,2025-09-13,Other Revenue,416.27,0,0
demo-centro,2025-09-13,2025-09-14,Total Rooms in Hotel,220,2860,56320
demo-centro,2025-09-13,2025-09-14,Rooms Occupied minus House Use,164,2095,36688
demo-centro,2025-09-13,2025-09-14,Room Revenue,28882.67,355646.77,6085076.8
demo-centro,2025-09-13,2025-09-14,Total Revenue,35585.24,453477.99,7793033.21
demo-centro,2025-09-13,2025-09-14,Food And Beverage Revenue,5836.09,87161.81,1525404.11
demo-centro,2025-09-13,2025-09-14,Other Revenue,866.48,0,0
demo-costa,2025-09-13,2025-09-14,Total Rooms in Hotel,140,1820,35840
demo-costa,2025-09-13,2025-09-14,Rooms Occupied minus House Use,85,991,22028
demo-costa,2025-09-13,2025-09-14,Room Revenue,13160.03,150021.19,3446461.34
demo-costa,2025-09-13,2025-09-14,Total Revenue,16751.19,191061.31,4403257.8
demo-costa,2025-09-13,2025-09-14,Food And Beverage Revenue,3196.36,36539.48,853402.62
demo-costa,2025-09-13,2025-09-14,Other Revenue,394.8,0,0
demo-centro,2025-09-14,2025-09-15,Total Rooms in Hotel,220,3080,56540
demo-centro,2025-09-14,2025-09-15,Rooms Occupied minus House Use,135,2230,36823
demo-centro,2025-09-14,2025-09-15,Room Revenue,22090.01,377736.79,6107166.81
demo-centro,2025-09-14,2025-09-15,Total Revenue,28312.89,481790.87,7821346.1
demo-centro,2025-09-14,2025-09-15,Food And Beverage Revenue,5560.17,92721.98,1530964.28
demo-centro,2025-09-14,2025-09-15,Other Revenue,662.7,0,0
demo-costa,2025-09-14,2025-09-15,Total Rooms in Hotel,140,1960,35980
demo-costa,2025-09-14,2025-09-15,Rooms Occupied minus House Use,67,1058,22095
demo-costa,2025-09-14,2025-09-15,Room Revenue,10132.36,160153.55,3456593.7
demo-costa,2025-09-14,2025-09-15,Total Revenue,12888.71,203950.02,4416146.51
demo-costa,2025-09-14,2025-09-15,Food And Beverage Revenue,2452.38,38991.86,855855.0
demo-costa,2025-09-14,2025-09-15,Other Revenue,303.97,0,0
demo-centro,2025-09-15,2025-09-16,Total Rooms in Hotel,220,3300,56760
demo-centro,2025-09-15,2025-09-16,Rooms Occupied minus House Use,146,2376,36969
demo-centro,2025-09-15,2025-09-16,Room Revenue,25229.58,402966.36,6132396.39
demo-centro,2025-09-15,2025-09-16,Total Revenue,32688.66,514479.53,7854034.75
demo-centro,2025-09-15,2025-09-16,Food And Beverage Revenue,6702.19,99424.18,1537666.47
demo-centro,2025-09-15,2025-09-16,Other Revenue,756.89,0,0
demo-costa,2025-09-15,2025-09-16,Total Rooms in Hotel,140,2100,36120
demo-costa,2025-09-15,2025-09-16,Rooms Occupied minus House Use,61,1119,22156
demo-costa,2025-09-15,2025-09-16,Room Revenue,8789.75,168943.3,3465383.45
demo-costa,2025-09-15,2025-09-16,Total Revenue,11337.99,215288.01,4427484.5
demo-costa,2025-09-15,2025-09-16,Food And Beverage Revenue,2284.55,41276.41,858139.55
demo-costa,2025-09-15,2025-09-16,Other Revenue,263.69,0,0
demo-centro,2025-09-16,2025-09-17,Total Rooms in Hotel,220,3520,56980
demo-centro,2025-09-16,2025-09-17,Rooms Occupied minus House Use,158,2534,37127
demo-centro,2025-09-16,2025-09-17,Room Revenue,25891.71,428858.07,6158288.1
demo-centro,2025-09-16,2025-09-17,Total Revenue,32890.38,547369.92,7886925.14
demo-centro,2025-09-16,2025-09-17,Food And Beverage Revenue,6221.93,105646.1,1543888.4
demo-centro,2025-09-16,2025-09-17,Other Revenue,776.75,0,0
demo-costa,2025-09-16,2025-09-17,Total Rooms in Hotel,140,2240,36260
demo-costa,2025-09-16,2025-09-17,Rooms Occupied minus House Use,76,1195,22232
demo-costa,2025-09-16,2025-09-17,Room Revenue,11416.19,180359.49,3476799.64
demo-costa,2025-09-16,2025-09-17,Total Revenue,14385.07,229673.08,4441869.58
demo-costa,2025-09-16,2025-09-17,Food And Beverage Revenue,2626.4,43902.8,860765.95
demo-costa,2025-09-16,2025-09-17,Other Revenue,342.49,0,0
demo-centro,2025-09-17,2025-09-18,Total Rooms in Hotel,220,3740,57200
demo-centro,2025-09-17,2025-09-18,Rooms Occupied minus House Use,164,2698,37291
demo-centro,2025-09-17,2025-09-18,Room Revenue,27566.63,456424.7,6185854.72
demo-centro,2025-09-17,2025-09-18,Total Revenue,34487.57,581857.48,7921412.7
demo-centro,2025-09-17,2025-09-18,Food And Beverage Revenue,6093.94,111740.04,1549982.34
demo-centro,2025-09-17,2025-09-18,Other Revenue,827.0,0,0
demo-costa,2025-09-17,2025-09-18,Total Rooms in Hotel,140,2380,36400
demo-costa,2025-09-17,2025-09-18,Rooms Occupied minus House Use,81,1276,22313
demo-costa,2025-09-17,2025-09-18,Room Revenue,12176.14,192535.64,3488975.78
demo-costa,2025-09-17,2025-09-18,Total Revenue,16186.35,245859.43,4458055.93
